Name,Wikipedia link (en),Redirected,Redirect link
Hageman factor deficiency,https://en.wikipedia.org/wiki/Hageman_factor_deficiency,Yes,https://en.wikipedia.org/wiki/Factor_XII
Hagemoser–Weinstein–Bresnick syndrome,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome,No,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome
Hailey–Hailey disease,https://en.wikipedia.org/wiki/Hailey%E2%80%93Hailey_disease,No,https://en.wikipedia.org/wiki/Hailey%E2%80%93Hailey_disease
Hairy cell leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia,No,https://en.wikipedia.org/wiki/Hairy_cell_leukemia
Hairy palms and soles,https://en.wikipedia.org/wiki/Hairy_palms_and_soles,No,https://en.wikipedia.org/wiki/Hairy_palms_and_soles
Hairy tongue,https://en.wikipedia.org/wiki/Black_hairy_tongue,No,https://en.wikipedia.org/wiki/Black_hairy_tongue
Hajdu–Cheney syndrome,https://en.wikipedia.org/wiki/Hajdu%E2%80%93Cheney_syndrome,No,https://en.wikipedia.org/wiki/Hajdu%E2%80%93Cheney_syndrome
Halal syndrome,https://en.wikipedia.org/wiki/Halal_syndrome,No,https://en.wikipedia.org/wiki/Halal_syndrome
Hallermann–Streiff syndrome,https://en.wikipedia.org/wiki/Hallermann%E2%80%93Streiff_syndrome,No,https://en.wikipedia.org/wiki/Hallermann%E2%80%93Streiff_syndrome
Pantothenate kinase-associated neurodegeneration,https://en.wikipedia.org/wiki/Pantothenate_kinase-associated_neurodegeneration,Yes,https://en.wikipedia.org/wiki/Pantothenate_kinase-associated_neurodegeneration
Hallucinogen persisting perception disorder,https://en.wikipedia.org/wiki/Hallucinogen_persisting_perception_disorder,No,https://en.wikipedia.org/wiki/Hallucinogen_persisting_perception_disorder
Hallux valgus,https://en.wikipedia.org/wiki/Hallux_valgus,Yes,https://en.wikipedia.org/wiki/Bunion
Hamartoma sebaceus of Jadassohn,https://en.wikipedia.org/wiki/Hamartoma_sebaceus_of_Jadassohn,Yes,https://en.wikipedia.org/wiki/Nevus_sebaceous
Hand–foot–uterus syndrome,https://en.wikipedia.org/wiki/Hand%E2%80%93foot%E2%80%93uterus_syndrome,Yes,https://en.wikipedia.org/wiki/HOXA13
Hand wringing Rett syndrome,https://en.wikipedia.org/wiki/Hand_wringing_Rett_syndrome,Yes,https://en.wikipedia.org/wiki/Rett_syndrome
"Hand, foot and mouth disease","https://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",Yes,"https://en.wikipedia.org/wiki/Hand,_foot,_and_mouth_disease"
Hand–Schüller–Christian disease,https://en.wikipedia.org/wiki/Hand%E2%80%93Sch%C3%BCller%E2%80%93Christian_disease,Yes,https://en.wikipedia.org/wiki/Chronic_multifocal_Langerhans_cell_histiocytosis
Hanhart syndrome,https://en.wikipedia.org/wiki/Hanhart_syndrome,No,https://en.wikipedia.org/wiki/Hanhart_syndrome
Harding ataxia,https://en.wikipedia.org/wiki/Harding_ataxia,No,https://en.wikipedia.org/wiki/Harding_ataxia
Harlequin type ichthyosis,https://en.wikipedia.org/wiki/Harlequin_type_ichthyosis,Yes,https://en.wikipedia.org/wiki/Harlequin-type_ichthyosis
Harpaxophobia,https://en.wikipedia.org/wiki/Harpaxophobia,Yes,https://en.wikipedia.org/wiki/List_of_phobias
Hartnup disease,https://en.wikipedia.org/wiki/Hartnup_disease,No,https://en.wikipedia.org/wiki/Hartnup_disease
Hashimoto struma,https://en.wikipedia.org/wiki/Hashimoto_struma,Yes,https://en.wikipedia.org/wiki/Hashimoto%27s_thyroiditis
Hashimoto–Pritzker syndrome,https://en.wikipedia.org/wiki/Hashimoto%E2%80%93Pritzker_syndrome,Yes,https://en.wikipedia.org/wiki/Congenital_self-healing_reticulohistiocytosis
Hashimoto's thyroiditis,https://en.wikipedia.org/wiki/Hashimoto%27s_thyroiditis,No,https://en.wikipedia.org/wiki/Hashimoto%27s_thyroiditis
Hay–Wells syndrome,https://en.wikipedia.org/wiki/Hay%E2%80%93Wells_syndrome,No,https://en.wikipedia.org/wiki/Hay%E2%80%93Wells_syndrome
"Headache, cluster","https://en.wikipedia.org/wiki/Headache,_cluster",Yes,https://en.wikipedia.org/wiki/Cluster_headache
Hearing disorder,https://en.wikipedia.org/wiki/Hearing_disorder,Yes,https://en.wikipedia.org/wiki/Hearing_loss
Hearing impairment,https://en.wikipedia.org/wiki/Hearing_impairment,Yes,https://en.wikipedia.org/wiki/Hearing_loss
Hearing loss,https://en.wikipedia.org/wiki/Hearing_loss,No,https://en.wikipedia.org/wiki/Hearing_loss
Heart aneurysm,https://en.wikipedia.org/wiki/Heart_aneurysm,Yes,https://en.wikipedia.org/wiki/Ventricular_aneurysm
Heart attack,https://en.wikipedia.org/wiki/Heart_attack,Yes,https://en.wikipedia.org/wiki/Myocardial_infarction
Heart block,https://en.wikipedia.org/wiki/Heart_block,No,https://en.wikipedia.org/wiki/Heart_block
"Heart hypertrophy, hereditary","https://en.wikipedia.org/wiki/Heart_hypertrophy,_hereditary",Yes,https://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy
Heart situs anomaly,https://en.wikipedia.org/wiki/Heart_situs_anomaly,Yes,https://en.wikipedia.org/wiki/Dextrocardia
Heart tumor of the adult,https://en.wikipedia.org/wiki/Heart_tumor_of_the_adult,Yes,https://en.wikipedia.org/wiki/Primary_tumors_of_the_heart
Heart tumor of the child,https://en.wikipedia.org/wiki/Heart_tumor_of_the_child,Yes,https://en.wikipedia.org/wiki/Primary_tumors_of_the_heart
Heavy metal poisoning,https://en.wikipedia.org/wiki/Heavy_metal_poisoning,Yes,https://en.wikipedia.org/wiki/Toxic_heavy_metal
HEC syndrome,https://en.wikipedia.org/wiki/HEC_syndrome,No,https://en.wikipedia.org/wiki/HEC_syndrome
Heliophobia,https://en.wikipedia.org/wiki/Heliophobia,No,https://en.wikipedia.org/wiki/Heliophobia
HELLP syndrome,https://en.wikipedia.org/wiki/HELLP_syndrome,No,https://en.wikipedia.org/wiki/HELLP_syndrome
Helminthiasis,https://en.wikipedia.org/wiki/Helminthiasis,No,https://en.wikipedia.org/wiki/Helminthiasis
Hemangioblastoma,https://en.wikipedia.org/wiki/Hemangioblastoma,No,https://en.wikipedia.org/wiki/Hemangioblastoma
Hemangioendothelioma,https://en.wikipedia.org/wiki/Hemangioendothelioma,No,https://en.wikipedia.org/wiki/Hemangioendothelioma
Hemangioma thrombocytopenia syndrome,https://en.wikipedia.org/wiki/Hemangioma_thrombocytopenia_syndrome,Yes,https://en.wikipedia.org/wiki/Kasabach%E2%80%93Merritt_syndrome
"Hemangioma, capillary infantile","https://en.wikipedia.org/wiki/Hemangioma,_capillary_infantile",Yes,https://en.wikipedia.org/wiki/Infantile_hemangioma
Hemangioma,https://en.wikipedia.org/wiki/Hemangioma,No,https://en.wikipedia.org/wiki/Hemangioma
Hemangiopericytoma,https://en.wikipedia.org/wiki/Hemangiopericytoma,No,https://en.wikipedia.org/wiki/Hemangiopericytoma
Hematocolpos,https://en.wikipedia.org/wiki/Hematocolpos,No,https://en.wikipedia.org/wiki/Hematocolpos
Hemifacial microsomia,https://en.wikipedia.org/wiki/Hemifacial_microsomia,No,https://en.wikipedia.org/wiki/Hemifacial_microsomia
Hemimegalencephaly,https://en.wikipedia.org/wiki/Hemimegalencephaly,No,https://en.wikipedia.org/wiki/Hemimegalencephaly
Hemiplegia,https://en.wikipedia.org/wiki/Hemiplegia,Yes,https://en.wikipedia.org/wiki/Hemiparesis
"Hemiplegic migraine, familial","https://en.wikipedia.org/wiki/Hemiplegic_migraine,_familial",Yes,https://en.wikipedia.org/wiki/Familial_hemiplegic_migraine
Hemochromatosis,https://en.wikipedia.org/wiki/Hemochromatosis,Yes,https://en.wikipedia.org/wiki/Iron_overload
Hemochromatosis type 1,https://en.wikipedia.org/wiki/Hemochromatosis_type_1,Yes,https://en.wikipedia.org/wiki/Hereditary_haemochromatosis
Hemochromatosis type 2,https://en.wikipedia.org/wiki/Juvenile_hemochromatosis,No,https://en.wikipedia.org/wiki/Juvenile_hemochromatosis
Hemochromatosis type 3,https://en.wikipedia.org/wiki/Haemochromatosis_type_3,No,https://en.wikipedia.org/wiki/Haemochromatosis_type_3
Hemochromatosis type 4,https://en.wikipedia.org/wiki/Hemochromatosis_type_4,No,https://en.wikipedia.org/wiki/Hemochromatosis_type_4
