Name,Wikipedia link (en),Redirected,Redirect link
Saal Bulas syndrome,https://en.wikipedia.org/wiki/Saal_Bulas_syndrome,No,https://en.wikipedia.org/wiki/Saal_Bulas_syndrome
Saal Greenstein syndrome,https://en.wikipedia.org/wiki/Saal_Greenstein_syndrome,No,https://en.wikipedia.org/wiki/Saal_Greenstein_syndrome
Sabinas brittle hair syndrome,https://en.wikipedia.org/wiki/Sabinas_brittle_hair_syndrome,No,https://en.wikipedia.org/wiki/Sabinas_brittle_hair_syndrome
Saccharopinuria,https://en.wikipedia.org/wiki/Saccharopinuria,No,https://en.wikipedia.org/wiki/Saccharopinuria
Sacral agenesis,https://en.wikipedia.org/wiki/Sacral_agenesis,Yes,https://en.wikipedia.org/wiki/Caudal_regression_syndrome
Sacral defect anterior sacral meningocele,https://en.wikipedia.org/wiki/Sacral_defect_anterior_sacral_meningocele,Yes,https://en.wikipedia.org/wiki/Spina_bifida
Sacral plexopathy,https://en.wikipedia.org/wiki/Sacral_plexopathy,Yes,https://en.wikipedia.org/wiki/Sacral_plexus
Sadistic personality disorder,https://en.wikipedia.org/wiki/Sadistic_personality_disorder,No,https://en.wikipedia.org/wiki/Sadistic_personality_disorder
Saethre–Chotzen syndrome,https://en.wikipedia.org/wiki/Saethre%E2%80%93Chotzen_syndrome,No,https://en.wikipedia.org/wiki/Saethre%E2%80%93Chotzen_syndrome
Saito-Kuba-Tsuruta syndrome,https://en.wikipedia.org/wiki/Saito-Kuba-Tsuruta_syndrome,No,https://en.wikipedia.org/wiki/Saito-Kuba-Tsuruta_syndrome
Sakati syndrome,https://en.wikipedia.org/wiki/Sakati_syndrome,Yes,https://en.wikipedia.org/wiki/Sakati%E2%80%93Nyhan%E2%80%93Tisdale_syndrome
Salivary disorder,https://en.wikipedia.org/wiki/Salivary_disorder,Yes,https://en.wikipedia.org/wiki/Salivary_gland
Salivary gland disorders,https://en.wikipedia.org/wiki/Salivary_gland_disorder,Yes,https://en.wikipedia.org/wiki/Salivary_gland_disease
Salla disease,https://en.wikipedia.org/wiki/Salla_disease,No,https://en.wikipedia.org/wiki/Salla_disease
Salmonellosis,https://en.wikipedia.org/wiki/Salmonellosis,No,https://en.wikipedia.org/wiki/Salmonellosis
Sandhoff disease,https://en.wikipedia.org/wiki/Sandhoff_disease,No,https://en.wikipedia.org/wiki/Sandhoff_disease
Sanfilippo syndrome,https://en.wikipedia.org/wiki/Sanfilippo_syndrome,No,https://en.wikipedia.org/wiki/Sanfilippo_syndrome
Santavuori disease,https://en.wikipedia.org/wiki/Santavuori_disease,Yes,https://en.wikipedia.org/wiki/Infantile_neuronal_ceroid_lipofuscinosis
SAPHO syndrome,https://en.wikipedia.org/wiki/SAPHO_syndrome,No,https://en.wikipedia.org/wiki/SAPHO_syndrome
"Sarcoidosis, pulmonary","https://en.wikipedia.org/wiki/Sarcoidosis,_pulmonary",Yes,https://en.wikipedia.org/wiki/Sarcoidosis
Sarcoidosis,https://en.wikipedia.org/wiki/Sarcoidosis,No,https://en.wikipedia.org/wiki/Sarcoidosis
"Sarcoma, granulocytic","https://en.wikipedia.org/wiki/Sarcoma,_granulocytic",Yes,https://en.wikipedia.org/wiki/Myeloid_sarcoma
Sarcosinemia,https://en.wikipedia.org/wiki/Sarcosinemia,No,https://en.wikipedia.org/wiki/Sarcosinemia
Satoyoshi syndrome,https://en.wikipedia.org/wiki/Satoyoshi_syndrome,No,https://en.wikipedia.org/wiki/Satoyoshi_syndrome
Say–Meyer syndrome,https://en.wikipedia.org/wiki/Say%E2%80%93Meyer_syndrome,No,https://en.wikipedia.org/wiki/Say%E2%80%93Meyer_syndrome
Scabies,https://en.wikipedia.org/wiki/Scabies,No,https://en.wikipedia.org/wiki/Scabies
SCAD deficiency,https://en.wikipedia.org/wiki/SCAD_deficiency,Yes,https://en.wikipedia.org/wiki/Short-chain_acyl-coenzyme_A_dehydrogenase_deficiency
Scalp–ear–nipple syndrome,https://en.wikipedia.org/wiki/Scalp%E2%80%93ear%E2%80%93nipple_syndrome,No,https://en.wikipedia.org/wiki/Scalp%E2%80%93ear%E2%80%93nipple_syndrome
SCARF syndrome,https://en.wikipedia.org/wiki/SCARF_syndrome,No,https://en.wikipedia.org/wiki/SCARF_syndrome
Scarlet fever,https://en.wikipedia.org/wiki/Scarlet_fever,No,https://en.wikipedia.org/wiki/Scarlet_fever
Schamberg's disease pigmentation disorder,https://en.wikipedia.org/wiki/Schamberg%27s_disease_pigmentation_disorder,Yes,https://en.wikipedia.org/wiki/Schamberg_disease
Schamberg's disease,https://en.wikipedia.org/wiki/Schamberg%27s_disease,Yes,https://en.wikipedia.org/wiki/Schamberg_disease
Scheie syndrome,https://en.wikipedia.org/wiki/Scheie_syndrome,No,https://en.wikipedia.org/wiki/Scheie_syndrome
Scheuermann's disease,https://en.wikipedia.org/wiki/Scheuermann%27s_disease,No,https://en.wikipedia.org/wiki/Scheuermann%27s_disease
Schimke syndrome,https://en.wikipedia.org/wiki/Schimke_syndrome,No,https://en.wikipedia.org/wiki/Schimke_syndrome
Schindler disease,https://en.wikipedia.org/wiki/Schindler_disease,No,https://en.wikipedia.org/wiki/Schindler_disease
Schinzel–Giedion syndrome,https://en.wikipedia.org/wiki/Schinzel%E2%80%93Giedion_syndrome,No,https://en.wikipedia.org/wiki/Schinzel%E2%80%93Giedion_syndrome
Schinzel syndrome,https://en.wikipedia.org/wiki/Schinzel_syndrome,Yes,https://en.wikipedia.org/wiki/Ulnar%E2%80%93mammary_syndrome
Schistosomiasis,https://en.wikipedia.org/wiki/Schistosomiasis,No,https://en.wikipedia.org/wiki/Schistosomiasis
Schizencephaly,https://en.wikipedia.org/wiki/Schizencephaly,No,https://en.wikipedia.org/wiki/Schizencephaly
Schizoaffective disorder,https://en.wikipedia.org/wiki/Schizoaffective_disorder,No,https://en.wikipedia.org/wiki/Schizoaffective_disorder
Schizoid personality disorder,https://en.wikipedia.org/wiki/Schizoid_personality_disorder,No,https://en.wikipedia.org/wiki/Schizoid_personality_disorder
Schizophrenia,https://en.wikipedia.org/wiki/Schizophrenia,No,https://en.wikipedia.org/wiki/Schizophrenia
"Schizophrenia, genetic types","https://en.wikipedia.org/wiki/Schizophrenia,_genetic_types",Yes,https://en.wikipedia.org/wiki/Schizophrenia
Schizophreniform disorder,https://en.wikipedia.org/wiki/Schizophreniform_disorder,No,https://en.wikipedia.org/wiki/Schizophreniform_disorder
