Name,Wikipedia link (en),Redirected,Redirect link,Is it in Wikidata?
10q partial trisomy,https://en.wikipedia.org/wiki/Distal_Trisomy_10q,Yes,https://en.wikipedia.org/wiki/Distal_trisomy_10q,Yes
11 beta hydroxylase deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxylase_deficiency,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia_due_to_11%CE%B2-hydroxylase_deficiency,Yes
11 beta hydroxysteroid dehydrogenase type 2 deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxysteroid_dehydrogenase_type_2_deficiency,Yes,https://en.wikipedia.org/wiki/Apparent_mineralocorticoid_excess_syndrome,Yes
17 alpha hydroxylase deficiency,https://en.wikipedia.org/wiki/17_alpha_hydroxylase_deficiency,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia_due_to_17%CE%B1-hydroxylase_deficiency,Yes
17 beta hydroxysteroide dehydrogenase deficiency,https://en.wikipedia.org/wiki/17_beta_hydroxysteroide_dehydrogenase_deficiency,Yes,https://en.wikipedia.org/wiki/17%CE%B2-Hydroxysteroid_dehydrogenase_III_deficiency,Yes
17-beta-hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/17-beta-hydroxysteroid_dehydrogenase_deficiency,Yes,https://en.wikipedia.org/wiki/17%CE%B2-Hydroxysteroid_dehydrogenase_III_deficiency,Yes
17q21.31 microdeletion syndrome,https://en.wikipedia.org/wiki/17q21.31_microdeletion_syndrome,Yes,https://en.wikipedia.org/wiki/Koolen%E2%80%93De_Vries_syndrome,Yes
18-Hydroxylase deficiency,https://en.wikipedia.org/wiki/18-Hydroxylase_deficiency,Yes,https://en.wikipedia.org/wiki/Aldosterone_synthase#Methyl_oxidase_deficiency,Yes
18p deletion syndrome,https://en.wikipedia.org/wiki/18p_deletion_syndrome,Yes,https://en.wikipedia.org/wiki/Distal_18q-,Yes
1p36 deletion syndrome,https://en.wikipedia.org/wiki/1p36_deletion_syndrome,No,https://en.wikipedia.org/wiki/1p36_deletion_syndrome,Yes
2-hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-hydroxyglutaricaciduria,Yes,https://en.wikipedia.org/wiki/2-Hydroxyglutaric_aciduria,Yes
2-Hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-Hydroxyglutaricaciduria,Yes,https://en.wikipedia.org/wiki/2-Hydroxyglutaric_aciduria,Yes
"2,8 dihydroxy-adenine urolithiasis","https://en.wikipedia.org/wiki/2,8_dihydroxy-adenine_urolithiasis",Yes,https://en.wikipedia.org/wiki/Adenine_phosphoribosyltransferase_deficiency,Yes
21 hydroxylase deficiency,https://en.wikipedia.org/wiki/21_hydroxylase_deficiency,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia_due_to_21-hydroxylase_deficiency,Yes
22q11.2 deletion syndrome,https://en.wikipedia.org/wiki/22q11.2_deletion_syndrome,Yes,https://en.wikipedia.org/wiki/DiGeorge_syndrome,Yes
3 beta hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/3_beta_hydroxysteroid_dehydrogenase_deficiency,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia_due_to_3%CE%B2-hydroxysteroid_dehydrogenase_deficiency,Yes
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria,No,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria,No,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3 methylcrotonic aciduria,https://en.wikipedia.org/wiki/3_methylcrotonic_aciduria,Yes,https://en.wikipedia.org/wiki/3-Methylcrotonyl-CoA_carboxylase_deficiency,Yes
3 methylglutaconyl coa hydratase deficiency,https://en.wikipedia.org/wiki/3_methylglutaconyl_coa_hydratase_deficiency,Yes,https://en.wikipedia.org/wiki/3-Methylglutaconic_aciduria,Yes
3-hydroxy 3-methyl glutaryl-coa lyase deficiency,https://en.wikipedia.org/wiki/3-hydroxy_3-methyl_glutaryl-coa_lyase_deficiency,Yes,https://en.wikipedia.org/wiki/3-Hydroxy-3-methylglutaryl-CoA_lyase_deficiency,Yes
3-hydroxyacyl-coa dehydrogenase deficiency,https://en.wikipedia.org/wiki/3-hydroxyacyl-coa_dehydrogenase_deficiency,Yes,https://en.wikipedia.org/wiki/3-hydroxyacyl-coenzyme_A_dehydrogenase_deficiency
3-M syndrome,https://en.wikipedia.org/wiki/3-M_syndrome,No,https://en.wikipedia.org/wiki/3-M_syndrome,Yes
3-methyl crotonyl-coa carboxylase deficiency,https://en.wikipedia.org/wiki/3-methyl_crotonyl-coa_carboxylase_deficiency,Yes,https://en.wikipedia.org/wiki/3-Methylcrotonyl-CoA_carboxylase_deficiency,Yes
3-methyl glutaconic aciduria,https://en.wikipedia.org/wiki/3-methyl_glutaconic_aciduria,Yes,https://en.wikipedia.org/wiki/3-Methylglutaconic_aciduria,Yes
3C syndrome,https://en.wikipedia.org/wiki/3C_syndrome,No,https://en.wikipedia.org/wiki/3C_syndrome,Yes
3q29 microdeletion syndrome,https://en.wikipedia.org/wiki/3q29_microdeletion_syndrome,No,https://en.wikipedia.org/wiki/3q29_microdeletion_syndrome,Yes
4-Alpha-hydroxyphenylpyruvate hydroxylase deficiency,https://en.wikipedia.org/wiki/4-Alpha-hydroxyphenylpyruvate_hydroxylase_deficiency,Yes,https://en.wikipedia.org/wiki/Hawkinsinuria,Yes
46 xx gonadal dysgenesis epibulbar dermoid,https://en.wikipedia.org/wiki/46_xx_gonadal_dysgenesis_epibulbar_dermoid,Yes,https://en.wikipedia.org/wiki/XX_gonadal_dysgenesis,Yes
"47, XXY syndrome",https://en.wikipedia.org/wiki/Klinefelter_syndrome,No,https://en.wikipedia.org/wiki/Klinefelter_syndrome,Yes
"47, XYY syndrome",https://en.wikipedia.org/wiki/XYY_syndrome,No,https://en.wikipedia.org/wiki/XYY_syndrome,Yes
"47, XXX syndrome",https://en.wikipedia.org/wiki/Triple_X_syndrome,Yes,https://en.wikipedia.org/wiki/Trisomy_X,Yes
"48, XXXX syndrome","https://en.wikipedia.org/wiki/48,_XXXX",Yes,https://en.wikipedia.org/wiki/Tetrasomy_X,Yes
"48, XXYY syndrome",https://en.wikipedia.org/wiki/XXYY_syndrome,No,https://en.wikipedia.org/wiki/XXYY_syndrome
"49, XXXXX syndrome","https://en.wikipedia.org/wiki/49,_XXXXX",Yes,https://en.wikipedia.org/wiki/Pentasomy_X,Yes
"49, XXXXY syndrome","https://en.wikipedia.org/wiki/49,_XXXXY_syndrome",Yes,https://en.wikipedia.org/wiki/XXXXY_syndrome,Yes
5 alpha reductase 2 deficiency,https://en.wikipedia.org/wiki/5_alpha_reductase_2_deficiency,Yes,https://en.wikipedia.org/wiki/5%CE%B1-Reductase_2_deficiency,Yes
5p minus syndrome,https://en.wikipedia.org/wiki/Cri_du_chat,Yes,https://en.wikipedia.org/wiki/Cri_du_chat_syndrome,Yes
5q- syndrome,https://en.wikipedia.org/wiki/5q-_syndrome,Yes,https://en.wikipedia.org/wiki/Chromosome_5q_deletion_syndrome,Yes
6-pyruvoyl-tetrahydropterin synthase deficiency,https://en.wikipedia.org/wiki/6-pyruvoyl-tetrahydropterin_synthase_deficiency,Yes,https://en.wikipedia.org/wiki/6-Pyruvoyltetrahydropterin_synthase_deficiency,Yes
6-pyruvoyltetrahydropterin synthase deficiency,https://en.wikipedia.org/wiki/6-pyruvoyltetrahydropterin_synthase_deficiency,Yes,https://en.wikipedia.org/wiki/6-Pyruvoyltetrahydropterin_synthase_deficiency,Yes
7-dehydrocholesterol reductase deficiency,https://en.wikipedia.org/wiki/7-dehydrocholesterol_reductase_deficiency,Yes,https://en.wikipedia.org/wiki/Smith%E2%80%93Lemli%E2%80%93Opitz_syndrome,Yes
8p23.1 duplication syndrome,https://en.wikipedia.org/wiki/8p23.1_duplication_syndrome,No,https://en.wikipedia.org/wiki/8p23.1_duplication_syndrome,Yes
9q34 deletion syndrome,https://en.wikipedia.org/wiki/9q34_deletion_syndrome,Yes,https://en.wikipedia.org/wiki/9q34.3_deletion_syndrome,Yes
Ackerman syndrome,https://en.wikipedia.org/wiki/Ackerman_syndrome,No,https://en.wikipedia.org/wiki/Ackerman_syndrome,Yes
Acne rosacea,https://en.wikipedia.org/wiki/Acne_rosacea,Yes,https://en.wikipedia.org/wiki/Rosacea,Yes
Acne vulgaris,https://en.wikipedia.org/wiki/Acne_vulgaris,Yes,https://en.wikipedia.org/wiki/Acne,Yes
Acoustic neuroma,https://en.wikipedia.org/wiki/Acoustic_neuroma,Yes,https://en.wikipedia.org/wiki/Vestibular_schwannoma,Yes
Acoustic schwannomas,https://en.wikipedia.org/wiki/Acoustic_schwannomas,Yes,https://en.wikipedia.org/wiki/Vestibular_schwannoma,Yes
Acquired agranulocytosis,https://en.wikipedia.org/wiki/Acquired_agranulocytosis,Yes,https://en.wikipedia.org/wiki/Agranulocytosis,Yes
Acquired central hypoventilation syndrome,https://en.wikipedia.org/wiki/Acquired_central_hypoventilation_syndrome,Yes,https://en.wikipedia.org/wiki/Central_hypoventilation_syndrome,Yes
Acquired ichthyosis,https://en.wikipedia.org/wiki/Acquired_ichthyosis,Yes,https://en.wikipedia.org/wiki/Ichthyosis_acquisita
Acquired syphilis,https://en.wikipedia.org/wiki/Acquired_syphilis,Yes,https://en.wikipedia.org/wiki/Syphilis,Yes
"Acrocallosal syndrome, Schinzel type","https://en.wikipedia.org/wiki/Acrocallosal_syndrome,_Schinzel_type",Yes,https://en.wikipedia.org/wiki/Acrocallosal_syndrome,Yes
Acrocephaly,https://en.wikipedia.org/wiki/Acrocephaly,Yes,https://en.wikipedia.org/wiki/Oxycephaly,Yes
Acrocyanosis,https://en.wikipedia.org/wiki/Acrocyanosis,No,https://en.wikipedia.org/wiki/Acrocyanosis
Acrodermatitis,https://en.wikipedia.org/wiki/Acrodermatitis,No,https://en.wikipedia.org/wiki/Acrodermatitis,Yes
Acrodermatitis enteropathica,https://en.wikipedia.org/wiki/Acrodermatitis_enteropathica,No,https://en.wikipedia.org/wiki/Acrodermatitis_enteropathica,Yes
Acrodysostosis,https://en.wikipedia.org/wiki/Acrodysostosis,No,https://en.wikipedia.org/wiki/Acrodysostosis,Yes
Acrodysplasia,https://en.wikipedia.org/wiki/Acrodysplasia,Yes,https://en.wikipedia.org/wiki/Apert_syndrome,Yes
"Acrofacial dysostosis, Nager type","https://en.wikipedia.org/wiki/Acrofacial_dysostosis,_Nager_type",Yes,https://en.wikipedia.org/wiki/Nager_acrofacial_dysostosis,Yes
Acrofrontofacionasal dysostosis,https://en.wikipedia.org/wiki/Acrofrontofacionasal_dysostosis,No,https://en.wikipedia.org/wiki/Acrofrontofacionasal_dysostosis,Yes
Acrokeratoelastoidosis of Costa,https://en.wikipedia.org/wiki/Acrokeratoelastoidosis_of_Costa,No,https://en.wikipedia.org/wiki/Acrokeratoelastoidosis_of_Costa,Yes
Acromegaly,https://en.wikipedia.org/wiki/Acromegaly,No,https://en.wikipedia.org/wiki/Acromegaly,Yes
Acromesomelic dysplasia,https://en.wikipedia.org/wiki/Acromesomelic_dysplasia,No,https://en.wikipedia.org/wiki/Acromesomelic_dysplasia,Yes
Acromicric dysplasia,https://en.wikipedia.org/wiki/Acromicric_dysplasia,No,https://en.wikipedia.org/wiki/Acromicric_dysplasia,Yes
Acropectoral syndrome,https://en.wikipedia.org/wiki/Acropectoral_syndrome,No,https://en.wikipedia.org/wiki/Acropectoral_syndrome,Yes
Acrophobia,https://en.wikipedia.org/wiki/Acrophobia,No,https://en.wikipedia.org/wiki/Acrophobia,Yes
Acrospiroma,https://en.wikipedia.org/wiki/Acrospiroma,No,https://en.wikipedia.org/wiki/Acrospiroma
ACTH deficiency,https://en.wikipedia.org/wiki/ACTH_deficiency,Yes,https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone_deficiency,Yes
ACTH resistance,https://en.wikipedia.org/wiki/ACTH_resistance,Yes,https://en.wikipedia.org/wiki/Glucocorticoid_deficiency_1,Yes
Actinic keratosis,https://en.wikipedia.org/wiki/Actinic_keratosis,No,https://en.wikipedia.org/wiki/Actinic_keratosis,Yes
Actinomycosis,https://en.wikipedia.org/wiki/Actinomycosis,No,https://en.wikipedia.org/wiki/Actinomycosis,Yes
Activated protein C resistance,https://en.wikipedia.org/wiki/Activated_protein_C_resistance,No,https://en.wikipedia.org/wiki/Activated_protein_C_resistance,Yes
Acutane embryopathy,https://en.wikipedia.org/wiki/Acutane_embryopathy,Yes,https://en.wikipedia.org/wiki/Isotretinoin
Acute anxiety,https://en.wikipedia.org/wiki/Acute_anxiety,Yes,https://en.wikipedia.org/wiki/Panic_attack,Yes
Acute articular rheumatism,https://en.wikipedia.org/wiki/Acute_articular_rheumatism,Yes,https://en.wikipedia.org/wiki/Rheumatism
Acute erythroblastic leukemia,https://en.wikipedia.org/wiki/Acute_erythroblastic_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,Yes
Acute febrile neutrophilic dermatosis,https://en.wikipedia.org/wiki/Acute_febrile_neutrophilic_dermatosis,Yes,https://en.wikipedia.org/wiki/Febrile_neutrophilic_dermatosis,Yes
Acute gouty arthritis,https://en.wikipedia.org/wiki/Acute_gouty_arthritis,Yes,https://en.wikipedia.org/wiki/Gout,Yes
Acute idiopathic polyneuritis,https://en.wikipedia.org/wiki/Acute_idiopathic_polyneuritis,Yes,https://en.wikipedia.org/wiki/Guillain%E2%80%93Barr%C3%A9_syndrome,Yes
Acute intermittent porphyria,https://en.wikipedia.org/wiki/Acute_intermittent_porphyria,No,https://en.wikipedia.org/wiki/Acute_intermittent_porphyria,Yes
Acute lymphoblastic leukemia,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,No,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,Yes
Acute lymphocytic leukemia,https://en.wikipedia.org/wiki/Acute_lymphocytic_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia,Yes
Acute megakaryoblastic leukemia,https://en.wikipedia.org/wiki/Acute_megakaryoblastic_leukemia,No,https://en.wikipedia.org/wiki/Acute_megakaryoblastic_leukemia,Yes
Acute monoblastic leukemia,https://en.wikipedia.org/wiki/Acute_monoblastic_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_monocytic_leukemia,Yes
Acute monocytic leukemia,https://en.wikipedia.org/wiki/Acute_monocytic_leukemia,No,https://en.wikipedia.org/wiki/Acute_monocytic_leukemia,Yes
Acute mountain sickness,https://en.wikipedia.org/wiki/Acute_mountain_sickness,Yes,https://en.wikipedia.org/wiki/Altitude_sickness
