Name,Wikipedia link (en),Redirected,Redirect link
C syndrome,https://en.wikipedia.org/wiki/C_syndrome,Yes,https://en.wikipedia.org/wiki/Trigonocephaly
angioedema,https://en.wikipedia.org/wiki/Angioedema,No,https://en.wikipedia.org/wiki/Angioedema
Cacchi–Ricci disease,https://en.wikipedia.org/wiki/Cacchi%E2%80%93Ricci_disease,Yes,https://en.wikipedia.org/wiki/Medullary_sponge_kidney
Café au lait spots syndrome,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait_spot,No,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait_spot
Caffeine-induced sleep disorder,https://en.wikipedia.org/wiki/Caffeine-induced_sleep_disorder,No,https://en.wikipedia.org/wiki/Caffeine-induced_sleep_disorder
Caffey disease,https://en.wikipedia.org/wiki/Caffey_disease,Yes,https://en.wikipedia.org/wiki/Infantile_cortical_hyperostosis
Calcinosis cutis,https://en.wikipedia.org/wiki/Calcinosis_cutis,No,https://en.wikipedia.org/wiki/Calcinosis_cutis
Calciphylaxis,https://en.wikipedia.org/wiki/Calciphylaxis,No,https://en.wikipedia.org/wiki/Calciphylaxis
Calculi,https://en.wikipedia.org/wiki/Calculus_(medicine),No,https://en.wikipedia.org/wiki/Calculus_(medicine)
Calpainopathy,https://en.wikipedia.org/wiki/Calpainopathy,No,https://en.wikipedia.org/wiki/Calpainopathy
Coronavirus,https://en.wikipedia.org/wiki/Coronavirus,No,https://en.wikipedia.org/wiki/Coronavirus
Camfak syndrome,https://en.wikipedia.org/wiki/Camfak_syndrome,Yes,https://en.wikipedia.org/wiki/CAMFAK_syndrome
Campylobacteriosis,https://en.wikipedia.org/wiki/Campylobacteriosis,No,https://en.wikipedia.org/wiki/Campylobacteriosis
Camurati–Engelmann disease,https://en.wikipedia.org/wiki/Camurati%E2%80%93Engelmann_disease,No,https://en.wikipedia.org/wiki/Camurati%E2%80%93Engelmann_disease
Canavan leukodystrophy,https://en.wikipedia.org/wiki/Canavan_leukodystrophy,Yes,https://en.wikipedia.org/wiki/Canavan_disease
Candidiasis,https://en.wikipedia.org/wiki/Candidiasis,No,https://en.wikipedia.org/wiki/Candidiasis
Canga's bead symptom,https://en.wikipedia.org/wiki/Canga%27s_bead_symptom,No,https://en.wikipedia.org/wiki/Canga%27s_bead_symptom
Canine distemper,https://en.wikipedia.org/wiki/Canine_distemper,No,https://en.wikipedia.org/wiki/Canine_distemper
Cannabis dependence,https://en.wikipedia.org/wiki/Cannabis_dependence,Yes,https://en.wikipedia.org/wiki/Cannabis_use_disorder
Cannabis withdrawal,https://en.wikipedia.org/wiki/Cannabis_withdrawal,Yes,https://en.wikipedia.org/wiki/Effects_of_cannabis
Capillary leak syndrome,https://en.wikipedia.org/wiki/Capillary_leak_syndrome,No,https://en.wikipedia.org/wiki/Capillary_leak_syndrome
Caplan's syndrome,https://en.wikipedia.org/wiki/Caplan%27s_syndrome,No,https://en.wikipedia.org/wiki/Caplan%27s_syndrome
Carbamoyl phosphate synthetase deficiency,https://en.wikipedia.org/wiki/Carbamoyl_phosphate_synthetase_deficiency,Yes,https://en.wikipedia.org/wiki/Ornithine_translocase_deficiency
Carbohydrate deficient glycoprotein syndrome,https://en.wikipedia.org/wiki/Carbohydrate_deficient_glycoprotein_syndrome,Yes,https://en.wikipedia.org/wiki/Congenital_disorder_of_glycosylation
