diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
3 hydroxyisobutyric aciduria,Q4636563, , , , , , , , , , , , ,791.9,E71.1,C0342737,C535312, ,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria,medical condition,"3-HYDROXYISOBUTYRIC ACIDURIA,Disorder of valine metabolism"
long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency,Q24963765, , , , , , , , , , , , , , , , ,C129929,https://en.wikipedia.org/wiki/Long-chain_3-hydroxyacyl-coenzyme_A_dehydrogenase_deficiency,medical condition,"LCHAD deficiency,long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency"
XXYY syndrome,Q8042649, , , , , , , , , , , , ,758.81,Q98.8,C2936741, ,C89801,https://en.wikipedia.org/wiki/XXYY_syndrome,chromosomal anomaly of the aneuploidic type characterized by the presence of an extra X and Y chromosome in males,"48, XXYY Syndrome,48,XXYY Klinefelter syndrome,48,XXYY variant of Klinefelter's syndrome"
Ichthyosis acquisita,Q5986446, , , , , , , , , , , , , ,L85.0,C0263386,C538175,C112831,https://en.wikipedia.org/wiki/Ichthyosis_acquisita,"non-hereditary form of ichthyosis characterized by plate-like scales on the legs, arms and occasionally the torso","Fish scale disease, acquired,Ichthyosis Acquisita,Ichthyosis, acquired,acquired ichthyosis,acquired ichthyosis (disease)"
acrocyanosis,Q202283, , , , , , , , , , , , , , ,C0221347, , ,https://en.wikipedia.org/wiki/Acrocyanosis,vascular disease, 
eccrine acrospiroma,Q18556792, , , , , , , , , , , , , , ,C0206671,D057091,C7568,https://en.wikipedia.org/wiki/Poroma,Human disease,"Eccrine acrospiroma,Eccrine hidradenoma,Eccrine hidradenoma (disorder),Eccrine hidradenoma of skin,Poroma,Poroma (Acrospiroma)"
altitude sickness,Q624497,cerebral edema,Q979168, , , , , , , , , , , ,T70.2,C0002351,D000532, ,https://en.wikipedia.org/wiki/Altitude_sickness,acute negative health effects from high altitude,"AMS,mountain sickness"
Acute myeloblastic leukemia with maturation,Q4677940, , , , , , , , , , , , , ,C92.0,C1879321, ,C3250,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_with_maturation,"An acute myeloid leukemia (AML) characterized by blasts with evidence of maturation to more mature neutrophils. (WHO, 2001)","AML M2,AML with Maturation,Acute M2 Myeloid Leukemia,Acute Myelocytic Leukemia with Maturation,Acute Myelogenous Leukemia with Maturation,Acute Myeloid Leukemia (AML-M2),Acute Myeloid Leukemia with Maturation,Acute myeloblastic leukemia M2,Acute myeloblastic leukemia type 2,FAB M2,LAM M2,M2 Acute Granulocytic Leukemia,M2 Acute Myeloblastic Leukemia,M2 Acute Myeloblastic Leukemia with Maturation,M2 Acute Myelocytic Leukemia with Maturation,M2 Acute Myelogenous Leukemia,M2 Acute Myelogenous Leukemia with Maturation,M2 Acute Myeloid Leukemia,M2 Acute Myeloid Leukemia with Maturation,acute myeloblastic leukemia with maturation"
Acute myeloblastic leukemia without maturation,Q4677942, , , , , , , , , , , , , ,C92.0,C0026998, ,C3249,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_without_maturation,"An acute myeloid leukemia (AML) characterized by blasts without evidence of maturation to more mature neutrophils. (WHO, 2001)","AML M1,AML without Maturation,Acute Granulocytic Leukemia without Maturation,Acute M1 Myeloid Leukemia,Acute Myelocytic Leukemia without Maturation,Acute Myelogenous Leukemia without Maturation,Acute Myeloid Leukemia without Maturation,Acute Myeloid Leukemia without Maturation (FAB M1),Acute myeloblastic leukemia M1,Acute myeloblastic leukemia type 1,FAB M1,M1 Acute Granulocytic Leukemia,M1 Acute Granulocytic Leukemia without Maturation,M1 Acute Myeloblastic Leukemia,M1 Acute Myeloblastic Leukemia without Maturation,M1 Acute Myelocytic Leukemia,M1 Acute Myelocytic Leukemia without Maturation,M1 Acute Myelogenous Leukemia,M1 Acute Myelogenous Leukemia without Maturation,M1 Acute Myeloid Leukemia,M1 Acute Myeloid Leukemia without Maturation,acute myeloblastic leukemia without maturation"
necrotizing ulcerative gingivitis,Q539465, , , , , , , , ,infection,Q166231, , ,"041.84,101",A69.1,"C0017575,C1527368",D005892,"C34637,C84722",https://en.wikipedia.org/wiki/Acute_necrotizing_ulcerative_gingivitis,Human disease,"(Vincent's angina) or (trench mouth),ANUG,Angina - Vincents,Fusobacterium Infection,Fusobacterium Infections,Fusobacterium infectious disease,Trench mouth,Vincent angina,Vincent's Angina,Vincent's angina - pharyngitis,Vincent's angina - pharyngitis (disorder),Vincent's angina NOS,Vincent's disease,Vincent's infection, any site,acute necrotising ulcerative gingivitis,acute necrotising ulcerative gingivitis [Ambiguous],acute necrotising ulcerative gingivostomatitis,acute necrotising ulcerative gingivostomatitis [Ambiguous],acute necrotizing ulcerative gingivitis,acute necrotizing ulcerative gingivostomatitis,acute necrotizing ulcerative gingivostomatitis (disorder),acute ulceromembranous gingivitis,early acute necrotising gingivitis,infection caused by fusobacterium,infection due to fusobacterium,obsolete Fusobacterium infectious disease"
Acute posterior multifocal placoid pigment epitheliopathy,Q4677946, , , , , , , , , , , , , , ,C0154884, , ,https://en.wikipedia.org/wiki/Acute_posterior_multifocal_placoid_pigment_epitheliopathy,eye disease causing lesions in retina, 
Adrenalectomy in adrenal hypertension,Q93630286, , , , , , , , , , , , , , , , , , , , 
The impact of an adrenal incidentaloma algorithm on the evaluation of adrenal nodules,Q57645062, , , , , , , , , , , , , , , , , , , , 
Aerosinusitis,Q3505030, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aerosinusitis,barotrauma of the sinuses,sinus squeeze
Neurobiology of Aging,Q7002141, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Neurobiology_of_Aging,scientific journal,Neurobiol Aging
agnathia-otocephaly complex,Q3357668, , , , , , , , , , , , ,759.89,"Q18.2,Q87.8","C0265242,C1876185",C562503, ,https://en.wikipedia.org/wiki/Otocephaly,Human disease,"AGNATHIA-OTOCEPHALY COMPLEX,AGNATHIA-OTOCEPHALY COMPLEX, AGOTC,AGOTC,agnathia-holoprosencephaly-situs inversus syndrome,dysgnathia complex agnathia-holoprosencephaly,holoprosencephaly-agnathia,otocephaly"
visual agnosia,Q18742, , , , , , , , , , , , , , ,"C0234502,C2930796",C531604,C35276,https://en.wikipedia.org/wiki/Visual_agnosia,impairment in recognition of visually presented objects,visuoperceptual agnosia
AIDS dysmorphic syndrome,Q24975595, , , , , , , , ,congenital human immunodeficiency virus,Q24960226, , , , , , , ,https://en.wikipedia.org/wiki/AIDS_dysmorphic_syndrome,human disease,HIV embryopathy
withdrawal symptom,Q4420149, , ,"buprenorphine/naloxone,loperamide","Q25048068,Q423751", , , , ,drug withdrawal,Q498902, , ,292.0, ,"C0038587,C1332133",D013375,C35046,https://en.wikipedia.org/wiki/Withdrawal_syndrome,"substance-related disorder that occurs upon the abrupt discontinuation/separation or a decrease in dosage of the intake of medications, recreational drugs, and alcohol","abstinence syndrome,drug abstinence syndrome or symptom,drug withdrawal,drug withdrawal syndrome,obsolete drug abstinence syndrome or symptom,substance withdrawal,substance withdrawal disorder,substance withdrawal syndrome,withdrawal disorder,withdrawal reaction,withdrawal state"
alopecia totalis,Q4734614, , , , , , , , , , , , ,704.09,L63.0,C0263504, , ,https://en.wikipedia.org/wiki/Alopecia_totalis,"Alopecia totalis is a form of alopecia areata, an inflammatory disease of the hair follicle, characterized by a complete loss of hair of the entire scalp which becomes glabrous",total alopecia areata
alternating hemiplegia of childhood,Q2632848, , , , , , , , , , , , , ,G98,C3549447,C536589, ,https://en.wikipedia.org/wiki/Alternating_hemiplegia_of_childhood,hemiplegia characterized by recurrent episodes of temporary weakness or complete paralysis on one or both sides of the body,"AHC,AHC1,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1, AHC1,Alternating Hemiplegia of Childhood type 1"
Alzheimer disease 3,Q27677605, , , , , , , , , , , , , , ,"C1843013,C1843014,C1843015", ,C123412, ,Alzheimer's disease that has material basis in mutation in the presenilin-1 gene (PSEN1) on chromosome 14q24,"AD3,Alzheimer Disease 3, Early-Onset,Alzheimer Disease type 3,Alzheimer Disease, Familial, 3,Alzheimer Disease, Familial, 3, With Spastic Paraparesis and Apraxia,Alzheimer Disease, Familial, 3, With Spastic Paraparesis and Unusual Plaques,Alzheimer disease 3,Alzheimer disease 3, early onset,Alzheimer disease familial 3,Alzheimer's disease 3,Alzheimer's disease type 3"
Alzheimer disease 3,Q27677605, , , , , , , , , , , , , , ,"C1843013,C1843014,C1843015", ,C123412, ,Alzheimer's disease that has material basis in mutation in the presenilin-1 gene (PSEN1) on chromosome 14q24,"AD3,Alzheimer Disease 3, Early-Onset,Alzheimer Disease type 3,Alzheimer Disease, Familial, 3,Alzheimer Disease, Familial, 3, With Spastic Paraparesis and Apraxia,Alzheimer Disease, Familial, 3, With Spastic Paraparesis and Unusual Plaques,Alzheimer disease 3,Alzheimer disease 3, early onset,Alzheimer disease familial 3,Alzheimer's disease 3,Alzheimer's disease type 3"
Leber congenital amaurosis,Q1811132, , , , , , , , , , , , , , ,C0339527,D057130,C129075,https://en.wikipedia.org/wiki/Leber_congenital_amaurosis,"retinal disease that is characterized by nystagmus, sluggish or no pupillary responses, and severe vision loss or blindness","AMAUROSIS CONGENITA OF LEBER I,LCA,Leber congenital amaurosis type 13,Leber congenital amaurosis type 14,Leber's amaurosis,Leber's amaurosis (disorder),Leber's congenital amaurosis,Leber's disease"
amelogenesis imperfecta,Q461854, , , , , , , , , , , , , ,K00.5,C0002452,D000567, ,https://en.wikipedia.org/wiki/Amelogenesis_imperfecta,dental enamel hypoplasia characterized by abnormal enamel formation, 
childhood amnesia,Q493965, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Childhood_amnesia,human disease,infantile amnesia
Drug-induced amnesia,Q5308804, , , , , , , , , , , , , , ,CL1380657, , ,https://en.wikipedia.org/wiki/Drug-induced_amnesia,Loss of memory caused by psychoactive substances, 
source amnesia,Q3614488, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Source_amnesia,inability to remember how information was acquired while still retaining the knowledge, 
anaphylaxis,Q168800, , ,epinephrine,Q132621, , ,Nucynta,Q47521917, , , , , , ,C0002792,D000707,C107101,https://en.wikipedia.org/wiki/Anaphylaxis,severe allergic reaction,anaphylactic reaction
