Name,Wikipedia link (en),Is it in wikidata?
Rabies,https://en.wikipedia.org/wiki/Rabies,Yes
Rabson–Mendenhall syndrome,https://en.wikipedia.org/wiki/Rabson%E2%80%93Mendenhall_syndrome,Yes
Radiation syndromes,https://en.wikipedia.org/wiki/Radiation_syndromes
Radiation-induced lumbosacral plexopathy,https://en.wikipedia.org/wiki/Radiation-induced_lumbar_plexopathy
Radiophobia,https://en.wikipedia.org/wiki/Radiophobia
Radio-ulnar synostosis type 1,https://en.wikipedia.org/wiki/Radio-ulnar_synostosis_type_1
Radio-ulnar synostosis type 2,https://en.wikipedia.org/wiki/Radio-ulnar_synostosis_type_2
Raine syndrome,https://en.wikipedia.org/wiki/Raine_syndrome,Yes
Rambam Hasharon syndrome,https://en.wikipedia.org/wiki/Rambam_Hasharon_syndrome
Ramos-Arroyo syndrome,https://en.wikipedia.org/wiki/Ramos-Arroyo_syndrome,Yes
Ramsay Hunt paralysis syndrome,https://en.wikipedia.org/wiki/Ramsay_Hunt_paralysis_syndrome
Rapadilino syndrome,https://en.wikipedia.org/wiki/Rapadilino_syndrome
Rapp–Hodgkin syndrome,https://en.wikipedia.org/wiki/Rapp%E2%80%93Hodgkin_syndrome,Yes
Rapunzel syndrome,https://en.wikipedia.org/wiki/Rapunzel_syndrome
Rasmussen's encephalitis,https://en.wikipedia.org/wiki/Rasmussen%27s_encephalitis,Yes
Raynaud's disease/phenomenon,https://en.wikipedia.org/wiki/Raynaud%27s_phenomenon
Reactive airway disease,https://en.wikipedia.org/wiki/Reactive_airway_disease,Yes
Reactive arthritis,https://en.wikipedia.org/wiki/Reactive_arthritis
Reactive attachment disorder,https://en.wikipedia.org/wiki/Reactive_attachment_disorder
Reactive attachment disorder of early childhood,https://en.wikipedia.org/wiki/Reactive_attachment_disorder_of_early_childhood
Reactive attachment disorder of infancy,https://en.wikipedia.org/wiki/Reactive_attachment_disorder_of_infancy
Reactive hypoglycemia,https://en.wikipedia.org/wiki/Reactive_hypoglycemia
Rectal neoplasm,https://en.wikipedia.org/wiki/Rectal_neoplasm
Rectosigmoid neoplasm,https://en.wikipedia.org/wiki/Rectosigmoid_neoplasm
Recurrent respiratory papillomatosis,https://en.wikipedia.org/wiki/Recurrent_respiratory_papillomatosis
Reflex sympathetic dystrophy syndrome,https://en.wikipedia.org/wiki/Reflex_sympathetic_dystrophy_syndrome
Reflux esophagitis,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease
Refractory anemia,https://en.wikipedia.org/wiki/Refractory_anemia
"Refsum disease, infantile form","https://en.wikipedia.org/wiki/Refsum_disease,_infantile_form"
Refsum disease,https://en.wikipedia.org/wiki/Refsum_disease,Yes
Regional enteritis,https://en.wikipedia.org/wiki/Regional_enteritis
Reifenstein syndrome,https://en.wikipedia.org/wiki/Reifenstein_syndrome
Renal agenesis,https://en.wikipedia.org/wiki/Renal_agenesis,Yes
Renal artery stenosis,https://en.wikipedia.org/wiki/Renal_artery_stenosis
Renal calculi,https://en.wikipedia.org/wiki/Renal_calculi
Renal cancer,https://en.wikipedia.org/wiki/Renal_cell_carcinoma
"Renal carcinoma, familial",https://en.wikipedia.org/wiki/Renal_cell_carcinoma
Renal cell carcinoma,https://en.wikipedia.org/wiki/Renal_cell_carcinoma
Renal dysplasia limb defects,https://en.wikipedia.org/wiki/Renal_dysplasia_limb_defects
Renal dysplasia mesomelia radiohumeral fusion,https://en.wikipedia.org/wiki/Renal_dysplasia_mesomelia_radiohumeral_fusion
Renal failure,https://en.wikipedia.org/wiki/Renal_failure
Renal glycosuria,https://en.wikipedia.org/wiki/Renal_glycosuria,Yes
Renal hypoplasia,https://en.wikipedia.org/wiki/Renal_hypoplasia,Yes
Renal hypertension,https://en.wikipedia.org/wiki/Renovascular_hypertension,Yes
Renal osteodystrophy,https://en.wikipedia.org/wiki/Renal_osteodystrophy
Renal rickets,https://en.wikipedia.org/wiki/Renal_osteodystrophy
"Renal tubular acidosis, distal","https://en.wikipedia.org/wiki/Renal_tubular_acidosis,_distal"
Renal tubular acidosis,https://en.wikipedia.org/wiki/Renal_tubular_acidosis,Yes
Reperfusion injury,https://en.wikipedia.org/wiki/Reperfusion_injury
Repetitive strain injury,https://en.wikipedia.org/wiki/Repetitive_strain_injury
Respiratory acidosis,https://en.wikipedia.org/wiki/Respiratory_acidosis
"Respiratory distress syndrome, adult","https://en.wikipedia.org/wiki/Respiratory_distress_syndrome,_adult"
"Respiratory distress syndrome, infant",https://en.wikipedia.org/wiki/Infant_respiratory_distress_syndrome
Restless legs syndrome,https://en.wikipedia.org/wiki/Restless_legs_syndrome
Reticuloendotheliosis,https://en.wikipedia.org/wiki/Reticuloendotheliosis
Retina disorder,https://en.wikipedia.org/wiki/Retina_disorder
Retinal degeneration,https://en.wikipedia.org/wiki/Retinopathy
Retinitis pigmentosa,https://en.wikipedia.org/wiki/Retinitis_pigmentosa,Yes
Retinoblastoma,https://en.wikipedia.org/wiki/Retinoblastoma,Yes
"Retinopathy, diabetic","https://en.wikipedia.org/wiki/Retinopathy,_diabetic"
Retinoschisis,https://en.wikipedia.org/wiki/Retinoschisis
"Retinoschisis, juvenile","https://en.wikipedia.org/wiki/Retinoschisis,_juvenile"
"Retinoschisis, X-linked","https://en.wikipedia.org/wiki/Retinoschisis,_X-linked"
Retrograde amnesia,https://en.wikipedia.org/wiki/Retrograde_amnesia
Retrolental fibroplasia,https://en.wikipedia.org/wiki/Retrolental_fibroplasia
Retroperitoneal fibrosis,https://en.wikipedia.org/wiki/Retroperitoneal_fibrosis,Yes
Rett  syndrome,https://en.wikipedia.org/wiki/Rett_syndrome,Yes
Revesz syndrome,https://en.wikipedia.org/wiki/Revesz_syndrome,Yes
Reye's syndrome,https://en.wikipedia.org/wiki/Reye%27s_syndrome
Reynolds syndrome,https://en.wikipedia.org/wiki/Reynolds_syndrome,Yes
Rh disease,https://en.wikipedia.org/wiki/Rh_disease
Rhabditida infections,https://en.wikipedia.org/wiki/Rhabditida_infections
Rhabdoid tumor,https://en.wikipedia.org/wiki/Rhabdoid_tumor
Rhabdomyolysis,https://en.wikipedia.org/wiki/Rhabdomyolysis,Yes
Rhabdomyosarcoma,https://en.wikipedia.org/wiki/Rhabdomyosarcoma
"Rhabdomyosarcoma, alveolar","https://en.wikipedia.org/wiki/Rhabdomyosarcoma,_alveolar"
"Rhabdomyosarcoma, embryonal","https://en.wikipedia.org/wiki/Rhabdomyosarcoma,_embryonal"
Rheumatic fever,https://en.wikipedia.org/wiki/Rheumatic_fever
Rheumatism,https://en.wikipedia.org/wiki/Rheumatism
Rheumatoid arthritis,https://en.wikipedia.org/wiki/Rheumatoid_arthritis,Yes
Rheumatoid purpura,https://en.wikipedia.org/wiki/Henoch%E2%80%93Sch%C3%B6nlein_purpura
Rheumatoid vasculitis,https://en.wikipedia.org/wiki/Rheumatoid_vasculitis
Rhinotillexomania,https://en.wikipedia.org/wiki/Nose-picking#Rhinotillexomania
Ribbing disease,https://en.wikipedia.org/wiki/Ribbing_disease
Richter syndrome,https://en.wikipedia.org/wiki/Richter_syndrome
Rickets,https://en.wikipedia.org/wiki/Rickets,Yes
Rickettsial disease,https://en.wikipedia.org/wiki/Rickettsial_disease
Rickettsialpox,https://en.wikipedia.org/wiki/Rickettsialpox,Yes
Rickettsiosis,https://en.wikipedia.org/wiki/Rickettsiosis,Yes
Rift Valley fever,https://en.wikipedia.org/wiki/Rift_Valley_fever,Yes
Riley–Day syndrome,https://en.wikipedia.org/wiki/Riley%E2%80%93Day_syndrome
Ringed hair disease,https://en.wikipedia.org/wiki/Ringed_hair_disease
Ringworm,https://en.wikipedia.org/wiki/Ringworm
Roberts syndrome,https://en.wikipedia.org/wiki/Roberts_syndrome,Yes
Robin sequence and oligodactyly,https://en.wikipedia.org/wiki/Pierre_Robin_sequence
Robinow syndrome,https://en.wikipedia.org/wiki/Robinow_syndrome,Yes
Rocky Mountain spotted fever,https://en.wikipedia.org/wiki/Rocky_Mountain_spotted_fever,Yes
Rod monochromacy,https://en.wikipedia.org/wiki/Rod_monochromacy
Rod myopathy,https://en.wikipedia.org/wiki/Rod_myopathy
Romano–Ward syndrome,https://en.wikipedia.org/wiki/Romano%E2%80%93Ward_syndrome
Romberg hemi-facial atrophy,https://en.wikipedia.org/wiki/Romberg_hemi-facial_atrophy
Rombo syndrome,https://en.wikipedia.org/wiki/Rombo_syndrome
Rosai–Dorfman disease,https://en.wikipedia.org/wiki/Rosai%E2%80%93Dorfman_disease
Rosenberg–Chutorian syndrome,https://en.wikipedia.org/wiki/Rosenberg%E2%80%93Chutorian_syndrome
Roseola infantum,https://en.wikipedia.org/wiki/Roseola_infantum
Rothmund–Thomson syndrome,https://en.wikipedia.org/wiki/Rothmund%E2%80%93Thomson_syndrome,Yes
Rotor syndrome,https://en.wikipedia.org/wiki/Rotor_syndrome,Yes
Roussy–Levy hereditary areflexic dystasia,https://en.wikipedia.org/wiki/Roussy%E2%80%93Levy_hereditary_areflexic_dystasia
"Rubella, congenital","https://en.wikipedia.org/wiki/Rubella,_congenital"
Rubella,https://en.wikipedia.org/wiki/Rubella,Yes
Rubeola,https://en.wikipedia.org/wiki/Rubeola
Rubinstein–Taybi syndrome,https://en.wikipedia.org/wiki/Rubinstein%E2%80%93Taybi_syndrome,Yes
Rudiger syndrome,https://en.wikipedia.org/wiki/Rudiger_syndrome
Rumination syndrome,https://en.wikipedia.org/wiki/Rumination_syndrome
Rupophobia,https://en.wikipedia.org/wiki/Rupophobia
Ruzicka Goerz Anton syndrome,https://en.wikipedia.org/wiki/Ruzicka_Goerz_Anton_syndrome
