diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
3 hydroxyisobutyric aciduria,Q4636563, , , , , , , , , , , , ,791.9,E71.1,C0342737,C535312, ,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria,medical condition,"3-HYDROXYISOBUTYRIC ACIDURIA,Disorder of valine metabolism"
long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency,Q24963765, , , , , , , , , , , , , , , , ,C129929,https://en.wikipedia.org/wiki/Long-chain_3-hydroxyacyl-coenzyme_A_dehydrogenase_deficiency,medical condition,"LCHAD deficiency,long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency"
XXYY syndrome,Q8042649, , , , , , , , , , , , ,758.81,Q98.8,C2936741, ,C89801,https://en.wikipedia.org/wiki/XXYY_syndrome,chromosomal anomaly of the aneuploidic type characterized by the presence of an extra X and Y chromosome in males,"48, XXYY Syndrome,48,XXYY Klinefelter syndrome,48,XXYY variant of Klinefelter's syndrome"
Ichthyosis acquisita,Q5986446, , , , , , , , , , , , , ,L85.0,C0263386,C538175,C112831,https://en.wikipedia.org/wiki/Ichthyosis_acquisita,"non-hereditary form of ichthyosis characterized by plate-like scales on the legs, arms and occasionally the torso","Fish scale disease, acquired,Ichthyosis Acquisita,Ichthyosis, acquired,acquired ichthyosis,acquired ichthyosis (disease)"
acrocyanosis,Q202283, , , , , , , , , , , , , , ,C0221347, , ,https://en.wikipedia.org/wiki/Acrocyanosis,vascular disease, 
acrospiroma,Q1323187, , , , , , , , , , , , , , , ,D018250, ,https://en.wikipedia.org/wiki/Acrospiroma,medical condition, 
acute mountain sickness,Q55789795, , , , , , , , , , , , ,993.2, , , , , , ,"Altitude anoxia,Altitude sickness,High altitude cerebral edema,High altitude pulmonary edema,Mountain sickness,acosta's disease,soroche"
Acute myeloblastic leukemia with maturation,Q4677940, , , , , , , , , , , , , ,C92.0,C1879321, ,C3250,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_with_maturation,"An acute myeloid leukemia (AML) characterized by blasts with evidence of maturation to more mature neutrophils. (WHO, 2001)","AML M2,AML with Maturation,Acute M2 Myeloid Leukemia,Acute Myelocytic Leukemia with Maturation,Acute Myelogenous Leukemia with Maturation,Acute Myeloid Leukemia (AML-M2),Acute Myeloid Leukemia with Maturation,Acute myeloblastic leukemia M2,Acute myeloblastic leukemia type 2,FAB M2,LAM M2,M2 Acute Granulocytic Leukemia,M2 Acute Myeloblastic Leukemia,M2 Acute Myeloblastic Leukemia with Maturation,M2 Acute Myelocytic Leukemia with Maturation,M2 Acute Myelogenous Leukemia,M2 Acute Myelogenous Leukemia with Maturation,M2 Acute Myeloid Leukemia,M2 Acute Myeloid Leukemia with Maturation,acute myeloblastic leukemia with maturation"
Acute myeloblastic leukemia without maturation,Q4677942, , , , , , , , , , , , , ,C92.0,C0026998, ,C3249,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_without_maturation,"An acute myeloid leukemia (AML) characterized by blasts without evidence of maturation to more mature neutrophils. (WHO, 2001)","AML M1,AML without Maturation,Acute Granulocytic Leukemia without Maturation,Acute M1 Myeloid Leukemia,Acute Myelocytic Leukemia without Maturation,Acute Myelogenous Leukemia without Maturation,Acute Myeloid Leukemia without Maturation,Acute Myeloid Leukemia without Maturation (FAB M1),Acute myeloblastic leukemia M1,Acute myeloblastic leukemia type 1,FAB M1,M1 Acute Granulocytic Leukemia,M1 Acute Granulocytic Leukemia without Maturation,M1 Acute Myeloblastic Leukemia,M1 Acute Myeloblastic Leukemia without Maturation,M1 Acute Myelocytic Leukemia,M1 Acute Myelocytic Leukemia without Maturation,M1 Acute Myelogenous Leukemia,M1 Acute Myelogenous Leukemia without Maturation,M1 Acute Myeloid Leukemia,M1 Acute Myeloid Leukemia without Maturation,acute myeloblastic leukemia without maturation"
necrotizing ulcerative gingivitis,Q539465, , , , , , , , ,infection,Q166231, , ,"041.84,101",A69.1,"C0017575,C1527368",D005892,"C34637,C84722",https://en.wikipedia.org/wiki/Acute_necrotizing_ulcerative_gingivitis,Human disease,"(Vincent's angina) or (trench mouth),ANUG,Angina - Vincents,Fusobacterium Infection,Fusobacterium Infections,Fusobacterium infectious disease,Trench mouth,Vincent angina,Vincent's Angina,Vincent's angina - pharyngitis,Vincent's angina - pharyngitis (disorder),Vincent's angina NOS,Vincent's disease,Vincent's infection, any site,acute necrotising ulcerative gingivitis,acute necrotising ulcerative gingivitis [Ambiguous],acute necrotising ulcerative gingivostomatitis,acute necrotising ulcerative gingivostomatitis [Ambiguous],acute necrotizing ulcerative gingivitis,acute necrotizing ulcerative gingivostomatitis,acute necrotizing ulcerative gingivostomatitis (disorder),acute ulceromembranous gingivitis,early acute necrotising gingivitis,infection caused by fusobacterium,infection due to fusobacterium,obsolete Fusobacterium infectious disease"
Acute posterior multifocal placoid pigment epitheliopathy,Q37311576, , , , , , , , , , , , , , , , , , ,scientific article published on April 1995, 
Adrenalectomy in adrenal hypertension,Q93630286, , , , , , , , , , , , , , , , , , , , 
Adrenal incidentaloma,Q70720501, , , , , , , , , , , , , , , , , , ,scientific article published on 01 April 1993, 
Aerosinusitis,Q3505030, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aerosinusitis,barotrauma of the sinuses,sinus squeeze
aging,Q332154, , , , ,senescence,Q2070979, , , , , , , , ,C0001811,D000375, ,https://en.wikipedia.org/wiki/Ageing,"accumulation of molecular and cellular damage in and on the body which, when it can no longer be tolerated by an organism, ultimately leads to its death","GO:0007568,aged,ageing,ageing process,aging process,biological decay"
Agnathia,Q21071557, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Agnathia, ,hypognathous
agnosia,Q220322, , , , , , , , , , , , , ,"R48.1,R48.2","C0001816,C0003635",D000377,C84542,https://en.wikipedia.org/wiki/Agnosia,neurologic sensory disorder,"Agnosia,Monomodal visual amnesia,Primary visual agnosia,Visual amnesia"
AIDS dysmorphic syndrome,Q24975595, , , , , , , , ,congenital human immunodeficiency virus,Q24960226, , , , , , , ,https://en.wikipedia.org/wiki/AIDS_dysmorphic_syndrome,human disease,HIV embryopathy
alcohol withdrawal syndrome,Q2914873, , ,(RS)-baclofen,Q413717, , , , ,Alcohol detoxification,Q4713265, , ,291.81, , , , ,https://en.wikipedia.org/wiki/Alcohol_withdrawal_syndrome,A set of symptoms that can occur after a reduction in alcohol use after excessive use,alcohol withdrawal
alopecia totalis,Q4734614, , , , , , , , , , , , ,704.09,L63.0,C0263504, , ,https://en.wikipedia.org/wiki/Alopecia_totalis,"Alopecia totalis is a form of alopecia areata, an inflammatory disease of the hair follicle, characterized by a complete loss of hair of the entire scalp which becomes glabrous",total alopecia areata
Autosomal recessive Alport syndrome: Immunohistochemical study of type IV collagen chain distribution,Q59619363, , , , , , , , , , , , , , , , , , ,scientific article published on 01 April 1995, 
Alternating hemiplegia,Q4063606, , , , , , , , , , , , , , ,C0278110, , ,https://en.wikipedia.org/wiki/Alternating_hemiplegia,human disease,"Crossed Hemiplegia,alternating hemiplegia"
early-onset Alzheimer's disease,Q5326566, , ,"(±)-deprenyl,alpha-tocopherol,donepezil,galantamine,rivastigmine,tacrine,valproic acid","Q158348,Q240642,Q402633,Q411887,Q412690,Q415081,Q421076", , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Early-onset_Alzheimer%27s_disease,Alzheimer's disease developing before the age of 65, 
Familial Alzheimer's disease,Q35247349, , , , , , , , , , , , , , , , , , ,scientific article, 
amaurosis,Q285787,blindness,Q10874, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Amaurosis,Amaurosis, 
amelogenesis imperfecta,Q461854, , , , , , , , , , , , , ,K00.5,C0002452,D000567, ,https://en.wikipedia.org/wiki/Amelogenesis_imperfecta,dental enamel hypoplasia characterized by abnormal enamel formation, 
Childhood amnesia.,Q38572562, , , , , , , , , , , , , , , , , , ,scientific article published on 27 October 2010, 
Drug-induced amnesia,Q5308804, , , , , , , , , , , , , , ,CL1380657, , ,https://en.wikipedia.org/wiki/Drug-induced_amnesia,Loss of memory caused by psychoactive substances, 
source amnesia,Q3614488, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Source_amnesia,inability to remember how information was acquired while still retaining the knowledge, 
anaphylaxis,Q168800, , ,epinephrine,Q132621, , ,Nucynta,Q47521917, , , , , , ,C0002792,D000707,C107101,https://en.wikipedia.org/wiki/Anaphylaxis,severe allergic reaction,anaphylactic reaction
intracranial berry aneurysm,Q6058359, , , , , , , , , , , , , ,I60.7,C1835857, , ,https://en.wikipedia.org/wiki/Intracranial_berry_aneurysm,"intracranial aneurysm with a characteristic rounded shape, the most common form of cerebral aneurysm","ANEURYSM, INTRACRANIAL BERRY, 5,ANEURYSM, INTRACRANIAL BERRY, 5, ANIB5,familial aneurysmal subarachnoid hemorrhage,familial berry aneurysm,familial intracranial saccular aneurysm,saccular cerebral aneurysm"
acute lymphoblastic leukemia congenital sporadic aniridia,Q55789860, , , , , , , , , , , , , , , , , , ,"disease characterized by acute lymphoblastic leukemia with the presence of congenital sporadic aniridia, the absence of an iris, where neither parent has aniridia", 
annuloaortic ectasia,Q731569, , , , , , , , , , , , , , ,C0345050,C562834, ,https://en.wikipedia.org/wiki/Annuloaortic_ectasia,dilation of the proximal ascending aorta and aortic annulus,cystic medial necrosis of aorta
[Clinical anophthalmos],Q72277448, , , , , , , , , , , , , , , , , , ,scientific article published on 01 January 1995, 
"Effects of a High Intensity Resistance Training in Muscular Strength, Agility, and Body Composition of Anorexia Nervosa Restricting Type Patients",Q65361991, , , , , , , , , , , , , , , , , , ,clinical trial, 
anorgasmia,Q1772397, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Anorgasmia,type of sexual dysfunction in which a person cannot achieve orgasm despite adequate stimulation,"inhibited orgasm,orgasmic dysfunction,psychogenic anorgasmy"
Aortic window,Q11788623, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aortopulmonary_space, , 
aplasia,Q5488, , , , , , , , , , , , , , ,C0243065, , ,https://en.wikipedia.org/wiki/Aplasia,defective development or congenital absence of an organ or tissue, 
reticulocytopenia,Q7316733, , , , , , , , , , , , , , ,C0858867, ,C113710,https://en.wikipedia.org/wiki/Reticulocytopenia,aplastic crisis, 
Apudoma,Q3621073, , , , , , , , , , , , , , ,C0003650,D001079, ,https://en.wikipedia.org/wiki/Apudoma,medical condition, 
