Name,Wikipedia link (en)
Tachycardia,https://en.wikipedia.org/wiki/Tachycardia
Taeniasis,https://en.wikipedia.org/wiki/Taeniasis
Takayasu arteritis,https://en.wikipedia.org/wiki/Takayasu_arteritis
Talipes equinovarus,https://en.wikipedia.org/wiki/Talipes_equinovarus
Tamari–Goodman syndrome,https://en.wikipedia.org/w/index.php?title=Tamari%E2%80%93Goodman_syndrome&action=edit&redlink=1
Tang Hsi Ryu syndrome,https://en.wikipedia.org/w/index.php?title=Tang_Hsi_Ryu_syndrome&action=edit&redlink=1
Tangier disease,https://en.wikipedia.org/wiki/Tangier_disease
TAR syndrome,https://en.wikipedia.org/wiki/TAR_syndrome
Tardive dyskinesia,https://en.wikipedia.org/wiki/Tardive_dyskinesia
Tarsal tunnel syndrome,https://en.wikipedia.org/wiki/Tarsal_tunnel_syndrome
Taste disorder,https://en.wikipedia.org/wiki/Taste_disorder
TAU syndrome,https://en.wikipedia.org/w/index.php?title=TAU_syndrome&action=edit&redlink=1
Taurodontia absent teeth sparse hair,https://en.wikipedia.org/w/index.php?title=Taurodontia_absent_teeth_sparse_hair&action=edit&redlink=1
Taurodontism,https://en.wikipedia.org/wiki/Taurodontism
Tay syndrome ichthyosis,https://en.wikipedia.org/wiki/Tay_syndrome_ichthyosis
Taybi–Linder syndrome,https://en.wikipedia.org/wiki/Taybi%E2%80%93Linder_syndrome
Taybi syndrome,https://en.wikipedia.org/wiki/Rubinstein-Taybi_syndrome
Tay–Sachs disease,https://en.wikipedia.org/wiki/Tay%E2%80%93Sachs_disease
T-cell lymphoma,https://en.wikipedia.org/wiki/T-cell_lymphoma
Teebi–Kaurah syndrome,https://en.wikipedia.org/w/index.php?title=Teebi%E2%80%93Kaurah_syndrome&action=edit&redlink=1
Teebi–Naguib–Alawadi syndrome,https://en.wikipedia.org/w/index.php?title=Teebi%E2%80%93Naguib%E2%80%93Alawadi_syndrome&action=edit&redlink=1
