Name,Wikipedia link (en),Redirected,Redirect link
Jackson–Weiss syndrome,https://en.wikipedia.org/wiki/Jackson%E2%80%93Weiss_syndrome,No,https://en.wikipedia.org/wiki/Jackson%E2%80%93Weiss_syndrome
Jacobsen syndrome,https://en.wikipedia.org/wiki/Jacobsen_syndrome,No,https://en.wikipedia.org/wiki/Jacobsen_syndrome
Jadassohn–Lewandowsky syndrome,https://en.wikipedia.org/wiki/Jadassohn%E2%80%93Lewandowsky_syndrome,Yes,https://en.wikipedia.org/wiki/Pachyonychia_congenita
Jalili syndrome,https://en.wikipedia.org/wiki/Jalili_syndrome,No,https://en.wikipedia.org/wiki/Jalili_syndrome
Jankovic–Rivera syndrome,https://en.wikipedia.org/wiki/Jankovic%E2%80%93Rivera_syndrome,Yes,https://en.wikipedia.org/wiki/Spinal_muscular_atrophy_with_progressive_myoclonic_epilepsy
Jansky–Bielschowsky disease,https://en.wikipedia.org/wiki/Jansky%E2%80%93Bielschowsky_disease,No,https://en.wikipedia.org/wiki/Jansky%E2%80%93Bielschowsky_disease
Japanese encephalitis,https://en.wikipedia.org/wiki/Japanese_encephalitis,No,https://en.wikipedia.org/wiki/Japanese_encephalitis
Jarcho–Levin syndrome,https://en.wikipedia.org/wiki/Jarcho%E2%80%93Levin_syndrome,Yes,https://en.wikipedia.org/wiki/Spondylocostal_dysostosis
Jejunal atresia,https://en.wikipedia.org/wiki/Jejunal_atresia,Yes,https://en.wikipedia.org/wiki/Intestinal_atresia
Jervell and Lange-Nielsen syndrome,https://en.wikipedia.org/wiki/Jervell_and_Lange-Nielsen_syndrome,No,https://en.wikipedia.org/wiki/Jervell_and_Lange-Nielsen_syndrome
Jeune syndrome,https://en.wikipedia.org/wiki/Jeune_syndrome,Yes,https://en.wikipedia.org/wiki/Asphyxiating_thoracic_dysplasia
Job syndrome,https://en.wikipedia.org/wiki/Job_syndrome,Yes,https://en.wikipedia.org/wiki/Hyperimmunoglobulin_E_syndrome
Johanson–Blizzard syndrome,https://en.wikipedia.org/wiki/Johanson%E2%80%93Blizzard_syndrome,No,https://en.wikipedia.org/wiki/Johanson%E2%80%93Blizzard_syndrome
Johnson–Munson syndrome,https://en.wikipedia.org/wiki/Johnson%E2%80%93Munson_syndrome,No,https://en.wikipedia.org/wiki/Johnson%E2%80%93Munson_syndrome
Jones syndrome,https://en.wikipedia.org/wiki/Jones_syndrome,No,https://en.wikipedia.org/wiki/Jones_syndrome
Joubert syndrome,https://en.wikipedia.org/wiki/Joubert_syndrome,No,https://en.wikipedia.org/wiki/Joubert_syndrome
Juberg–Marsidi syndrome,https://en.wikipedia.org/wiki/Juberg%E2%80%93Marsidi_syndrome,Yes,https://en.wikipedia.org/wiki/Smith%E2%80%93Fineman%E2%80%93Myers_syndrome
Jumping Frenchmen of Maine,https://en.wikipedia.org/wiki/Jumping_Frenchmen_of_Maine,No,https://en.wikipedia.org/wiki/Jumping_Frenchmen_of_Maine
Juvenile dermatomyositis,https://en.wikipedia.org/wiki/Juvenile_dermatomyositis,No,https://en.wikipedia.org/wiki/Juvenile_dermatomyositis
Juvenile gout,https://en.wikipedia.org/wiki/Juvenile_gout,Yes,https://en.wikipedia.org/wiki/Lesch%E2%80%93Nyhan_syndrome
Juvenile hyaline fibromatosis,https://en.wikipedia.org/wiki/Juvenile_hyaline_fibromatosis,No,https://en.wikipedia.org/wiki/Juvenile_hyaline_fibromatosis
Juvenile myoclonic epilepsy,https://en.wikipedia.org/wiki/Juvenile_myoclonic_epilepsy,No,https://en.wikipedia.org/wiki/Juvenile_myoclonic_epilepsy
Juvenile nephronophthisis,https://en.wikipedia.org/wiki/Juvenile_nephronophthisis,No,https://en.wikipedia.org/wiki/Juvenile_nephronophthisis
Juvenile rheumatoid arthritis,https://en.wikipedia.org/wiki/Juvenile_rheumatoid_arthritis,Yes,https://en.wikipedia.org/wiki/Juvenile_idiopathic_arthritis
