Name,Wikipedia link (en)
Saal Bulas syndrome,https://en.wikipedia.org/wiki/Saal_Bulas_syndrome
Saal Greenstein syndrome,https://en.wikipedia.org/wiki/Saal_Greenstein_syndrome
Sabinas brittle hair syndrome,https://en.wikipedia.org/wiki/Sabinas_brittle_hair_syndrome
Saccharopinuria,https://en.wikipedia.org/wiki/Saccharopinuria
Sackey–Sakati–Aur syndrome,https://en.wikipedia.org/w/index.php?title=Sackey%E2%80%93Sakati%E2%80%93Aur_syndrome&action=edit&redlink=1
Sacral agenesis,https://en.wikipedia.org/wiki/Sacral_agenesis
Sacral defect anterior sacral meningocele,https://en.wikipedia.org/wiki/Sacral_defect_anterior_sacral_meningocele
Sacral hemangiomas multiple congenital abnormalities,https://en.wikipedia.org/w/index.php?title=Sacral_hemangiomas_multiple_congenital_abnormalities&action=edit&redlink=1
Sacral meningocele conotruncal heart defects,https://en.wikipedia.org/w/index.php?title=Sacral_meningocele_conotruncal_heart_defects&action=edit&redlink=1
Sacral plexopathy,https://en.wikipedia.org/wiki/Sacral_plexopathy
Sacrococcygeal dysgenesis association,https://en.wikipedia.org/w/index.php?title=Sacrococcygeal_dysgenesis_association&action=edit&redlink=1
Sadistic personality disorder,https://en.wikipedia.org/wiki/Sadistic_personality_disorder
Saethre–Chotzen syndrome,https://en.wikipedia.org/wiki/Saethre%E2%80%93Chotzen_syndrome
Saito-Kuba-Tsuruta syndrome,https://en.wikipedia.org/wiki/Saito-Kuba-Tsuruta_syndrome
Sakati syndrome,https://en.wikipedia.org/wiki/Sakati_syndrome
Salcedo syndrome,https://en.wikipedia.org/w/index.php?title=Salcedo_syndrome&action=edit&redlink=1
Salivary disorder,https://en.wikipedia.org/wiki/Salivary_disorder
Salivary gland disorders,https://en.wikipedia.org/wiki/Salivary_gland_disorder
Salla disease,https://en.wikipedia.org/wiki/Salla_disease
Sallis–Beighton syndrome,https://en.wikipedia.org/w/index.php?title=Sallis%E2%80%93Beighton_syndrome&action=edit&redlink=1
Salmonellosis,https://en.wikipedia.org/wiki/Salmonellosis
Salti–Salem syndrome,https://en.wikipedia.org/w/index.php?title=Salti%E2%80%93Salem_syndrome&action=edit&redlink=1
Sammartino–Decreccio syndrome,https://en.wikipedia.org/w/index.php?title=Sammartino%E2%80%93Decreccio_syndrome&action=edit&redlink=1
Samson–Gardner syndrome,https://en.wikipedia.org/w/index.php?title=Samson%E2%80%93Gardner_syndrome&action=edit&redlink=1
Samson–Viljoen syndrome,https://en.wikipedia.org/w/index.php?title=Samson%E2%80%93Viljoen_syndrome&action=edit&redlink=1
Sanderson–Fraser syndrome,https://en.wikipedia.org/w/index.php?title=Sanderson%E2%80%93Fraser_syndrome&action=edit&redlink=1
Sandhaus–Ben Ami syndrome,https://en.wikipedia.org/w/index.php?title=Sandhaus%E2%80%93Ben_Ami_syndrome&action=edit&redlink=1
Sandhoff disease,https://en.wikipedia.org/wiki/Sandhoff_disease
Sandrow–Sullivan–Steel syndrome,https://en.wikipedia.org/w/index.php?title=Sandrow%E2%80%93Sullivan%E2%80%93Steel_syndrome&action=edit&redlink=1
Sanfilippo syndrome,https://en.wikipedia.org/wiki/Sanfilippo_syndrome
Santavuori disease,https://en.wikipedia.org/wiki/Santavuori_disease
Santos–Mateus–Leal syndrome,https://en.wikipedia.org/w/index.php?title=Santos%E2%80%93Mateus%E2%80%93Leal_syndrome&action=edit&redlink=1
SAPHO syndrome,https://en.wikipedia.org/wiki/SAPHO_syndrome
"Sarcoidosis, pulmonary","https://en.wikipedia.org/wiki/Sarcoidosis,_pulmonary"
Sarcoidosis,https://en.wikipedia.org/wiki/Sarcoidosis
"Sarcoma, granulocytic","https://en.wikipedia.org/wiki/Sarcoma,_granulocytic"
Sarcosinemia,https://en.wikipedia.org/wiki/Sarcosinemia
Satoyoshi syndrome,https://en.wikipedia.org/wiki/Satoyoshi_syndrome
Savisky syndrome,https://en.wikipedia.org/w/index.php?title=Savisky_syndrome&action=edit&redlink=1
Saul–Wilkes–Stevenson syndrome,https://en.wikipedia.org/w/index.php?title=Saul%E2%80%93Wilkes%E2%80%93Stevenson_syndrome&action=edit&redlink=1
Say–Barber–Hobbs syndrome,https://en.wikipedia.org/w/index.php?title=Say%E2%80%93Barber%E2%80%93Hobbs_syndrome&action=edit&redlink=1
Say–Barber–Miller syndrome,https://en.wikipedia.org/w/index.php?title=Say%E2%80%93Barber%E2%80%93Miller_syndrome&action=edit&redlink=1
Say–Carpenter–syndrome,https://en.wikipedia.org/w/index.php?title=Say%E2%80%93Carpenter%E2%80%93syndrome&action=edit&redlink=1
Say–Field–Coldwell syndrome,https://en.wikipedia.org/w/index.php?title=Say%E2%80%93Field%E2%80%93Coldwell_syndrome&action=edit&redlink=1
Say–Meyer syndrome,https://en.wikipedia.org/wiki/Say%E2%80%93Meyer_syndrome
Scabies,https://en.wikipedia.org/wiki/Scabies
Scab Face,https://en.wikipedia.org/w/index.php?title=Scab_Face&action=edit&redlink=1
SCAD deficiency,https://en.wikipedia.org/wiki/SCAD_deficiency
Scalp defects postaxial polydactyly,https://en.wikipedia.org/w/index.php?title=Scalp_defects_postaxial_polydactyly&action=edit&redlink=1
Scalp–ear–nipple syndrome,https://en.wikipedia.org/wiki/Scalp%E2%80%93ear%E2%80%93nipple_syndrome
Scapuloiliac dysostosis,https://en.wikipedia.org/w/index.php?title=Scapuloiliac_dysostosis&action=edit&redlink=1
Scapuloperoneal myopathy,https://en.wikipedia.org/w/index.php?title=Scapuloperoneal_myopathy&action=edit&redlink=1
SCARF syndrome,https://en.wikipedia.org/wiki/SCARF_syndrome
Scarlet fever,https://en.wikipedia.org/wiki/Scarlet_fever
Schaap–Taylor–Baraitser syndrome,https://en.wikipedia.org/w/index.php?title=Schaap%E2%80%93Taylor%E2%80%93Baraitser_syndrome&action=edit&redlink=1
Schaefer–Stein–Oshman syndrome,https://en.wikipedia.org/w/index.php?title=Schaefer%E2%80%93Stein%E2%80%93Oshman_syndrome&action=edit&redlink=1
Schamberg's disease pigmentation disorder,https://en.wikipedia.org/wiki/Schamberg%27s_disease_pigmentation_disorder
Schamberg's disease,https://en.wikipedia.org/wiki/Schamberg%27s_disease
Scheie syndrome,https://en.wikipedia.org/wiki/Scheie_syndrome
Schereshevskij Turner,https://en.wikipedia.org/w/index.php?title=Schereshevskij_Turner&action=edit&redlink=1
Scheuermann's disease,https://en.wikipedia.org/wiki/Scheuermann%27s_disease
Schimke syndrome,https://en.wikipedia.org/wiki/Schimke_syndrome
Schindler disease,https://en.wikipedia.org/wiki/Schindler_disease
Schinzel–Giedion syndrome,https://en.wikipedia.org/wiki/Schinzel%E2%80%93Giedion_syndrome
Schinzel syndrome,https://en.wikipedia.org/wiki/Schinzel_syndrome
Schinzel–Giedion midface retraction syndrome,https://en.wikipedia.org/w/index.php?title=Schinzel%E2%80%93Giedion_midface_retraction_syndrome&action=edit&redlink=1
Schisis association,https://en.wikipedia.org/w/index.php?title=Schisis_association&action=edit&redlink=1
Schistosomiasis,https://en.wikipedia.org/wiki/Schistosomiasis
Schizencephaly,https://en.wikipedia.org/wiki/Schizencephaly
Schizoaffective disorder,https://en.wikipedia.org/wiki/Schizoaffective_disorder
Schizoid personality disorder,https://en.wikipedia.org/wiki/Schizoid_personality_disorder
Schizophrenia,https://en.wikipedia.org/wiki/Schizophrenia
"Schizophrenia, genetic types","https://en.wikipedia.org/wiki/Schizophrenia,_genetic_types"
Schizophrenia intellectual disability deafness retinitis,https://en.wikipedia.org/w/index.php?title=Schizophrenia_intellectual_disability_deafness_retinitis&action=edit&redlink=1
Schizophreniform disorder,https://en.wikipedia.org/wiki/Schizophreniform_disorder
Schizotypal personality disorder,https://en.wikipedia.org/wiki/Schizotypal_personality_disorder
Schlegelberger–Grote syndrome,https://en.wikipedia.org/w/index.php?title=Schlegelberger%E2%80%93Grote_syndrome&action=edit&redlink=1
Schmidt syndrome,https://en.wikipedia.org/wiki/Schmidt_syndrome
Schmitt Gillenwater Kelly syndrome,https://en.wikipedia.org/wiki/Schmitt_Gillenwater_Kelly_syndrome
Schneckenbecken dysplasia,https://en.wikipedia.org/w/index.php?title=Schneckenbecken_dysplasia&action=edit&redlink=1
Schofer–Beetz–Bohl syndrome,https://en.wikipedia.org/w/index.php?title=Schofer%E2%80%93Beetz%E2%80%93Bohl_syndrome&action=edit&redlink=1
Scholte–Begeer–Van Essen syndrome,https://en.wikipedia.org/w/index.php?title=Scholte%E2%80%93Begeer%E2%80%93Van_Essen_syndrome&action=edit&redlink=1
Schraderman's disease,https://en.wikipedia.org/w/index.php?title=Schraderman%27s_disease&action=edit&redlink=1
Schrander–Stumpel–Theunissen–Hulsmans syndrome,https://en.wikipedia.org/w/index.php?title=Schrander%E2%80%93Stumpel%E2%80%93Theunissen%E2%80%93Hulsmans_syndrome&action=edit&redlink=1
Schroer–Hammer–Mauldin syndrome,https://en.wikipedia.org/w/index.php?title=Schroer%E2%80%93Hammer%E2%80%93Mauldin_syndrome&action=edit&redlink=1
Upshaw–Schülman syndrome,https://en.wikipedia.org/wiki/Upshaw%E2%80%93Sch%C3%BClman_syndrome
"Schwannoma, malignant","https://en.wikipedia.org/wiki/Schwannoma,_malignant"
Schwannomatosis,https://en.wikipedia.org/wiki/Schwannomatosis
Schwartz–Newark syndrome,https://en.wikipedia.org/w/index.php?title=Schwartz%E2%80%93Newark_syndrome&action=edit&redlink=1
Schwartz–Jampel syndrome,https://en.wikipedia.org/wiki/Schwartz%E2%80%93Jampel_syndrome
Schwartz–lelek syndrome,https://en.wikipedia.org/w/index.php?title=Schwartz%E2%80%93lelek_syndrome&action=edit&redlink=1
Schweitzer–Kemink–Malcolm syndrome,https://en.wikipedia.org/w/index.php?title=Schweitzer%E2%80%93Kemink%E2%80%93Malcolm_syndrome&action=edit&redlink=1
Sciatica,https://en.wikipedia.org/wiki/Sciatica
Scimitar syndrome,https://en.wikipedia.org/wiki/Scimitar_syndrome
Scleredema,https://en.wikipedia.org/wiki/Scleredema
Scleroatonic myopathy,https://en.wikipedia.org/w/index.php?title=Scleroatonic_myopathy&action=edit&redlink=1
"Sclerocornea, syndactyly, ambiguous genitalia","https://en.wikipedia.org/w/index.php?title=Sclerocornea,_syndactyly,_ambiguous_genitalia&action=edit&redlink=1"
Scleroderma,https://en.wikipedia.org/wiki/Scleroderma
Scleromyxedema,https://en.wikipedia.org/wiki/Scleromyxedema
Sclerosing bone dysplasia mental retardation,https://en.wikipedia.org/w/index.php?title=Sclerosing_bone_dysplasia_mental_retardation&action=edit&redlink=1
Sclerosing cholangitis,https://en.wikipedia.org/wiki/Sclerosing_cholangitis
Sclerosing lymphocytic lobulitis,https://en.wikipedia.org/w/index.php?title=Sclerosing_lymphocytic_lobulitis&action=edit&redlink=1
Sclerosing mesenteritis,https://en.wikipedia.org/w/index.php?title=Sclerosing_mesenteritis&action=edit&redlink=1
Sclerosteosis,https://en.wikipedia.org/wiki/Sclerosteosis
Sclerotylosis,https://en.wikipedia.org/wiki/Sclerotylosis
SCOT deficiency,https://en.wikipedia.org/wiki/SCOT_deficiency
Scott–Bryant–Graham syndrome,https://en.wikipedia.org/w/index.php?title=Scott%E2%80%93Bryant%E2%80%93Graham_syndrome&action=edit&redlink=1
Scott syndrome,https://en.wikipedia.org/wiki/Scott_syndrome
Scrapie,https://en.wikipedia.org/wiki/Scrapie
Scurvy,https://en.wikipedia.org/wiki/Scurvy
Scoliosis,https://en.wikipedia.org/wiki/Scoliosis
Scoliosis as part of NF,https://en.wikipedia.org/wiki/Scoliosis_as_part_of_NF
Scoliosis with unilateral unsegmented bar,https://en.wikipedia.org/wiki/Scoliosis_with_unilateral_unsegmented_bar
Scotoma,https://en.wikipedia.org/wiki/Scotoma
Sea-blue histiocytosis,https://en.wikipedia.org/wiki/Sea-blue_histiocytosis
Seafood poisoning,https://en.wikipedia.org/wiki/Seafood_poisoning
Seasonal affective disorder,https://en.wikipedia.org/wiki/Seasonal_affective_disorder
Seaver Cassidy syndrome,https://en.wikipedia.org/wiki/Seaver_Cassidy_syndrome
Sebocystomatosis,https://en.wikipedia.org/wiki/Sebocystomatosis
Secernentea Infections,https://en.wikipedia.org/wiki/Secernentea_Infections
Seckel like syndrome Majoor–Krakauer type,https://en.wikipedia.org/w/index.php?title=Seckel_like_syndrome_Majoor%E2%80%93Krakauer_type&action=edit&redlink=1
Seckel like syndrome type Buebel,https://en.wikipedia.org/w/index.php?title=Seckel_like_syndrome_type_Buebel&action=edit&redlink=1
Seckel syndrome 2,https://en.wikipedia.org/w/index.php?title=Seckel_syndrome_2&action=edit&redlink=1
Seckel syndrome,https://en.wikipedia.org/wiki/Seckel_syndrome
Secondary pulmonary hypertension,https://en.wikipedia.org/wiki/Secondary_pulmonary_hypertension
Seemanova–Lesny syndrome,https://en.wikipedia.org/w/index.php?title=Seemanova%E2%80%93Lesny_syndrome&action=edit&redlink=1
Seemanova syndrome type 2,https://en.wikipedia.org/w/index.php?title=Seemanova_syndrome_type_2&action=edit&redlink=1
Seghers syndrome,https://en.wikipedia.org/w/index.php?title=Seghers_syndrome&action=edit&redlink=1
