Name,Wikipedia link (en),Redirected,Redirect link
O Donnell Pappas syndrome,https://en.wikipedia.org/wiki/O_Donnell_Pappas_syndrome,Yes,https://en.wikipedia.org/wiki/Macular_hypoplasia
Obesophobia,https://en.wikipedia.org/wiki/Obesophobia,Yes,https://en.wikipedia.org/wiki/Social_stigma_of_obesity
Obsessive–compulsive disorder,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder,No,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder
Obsessive–compulsive personality disorder,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_personality_disorder,No,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_personality_disorder
Obstructive sleep apnea,https://en.wikipedia.org/wiki/Obstructive_sleep_apnea,No,https://en.wikipedia.org/wiki/Obstructive_sleep_apnea
Occipital horn syndrome,https://en.wikipedia.org/wiki/Occipital_horn_syndrome,No,https://en.wikipedia.org/wiki/Occipital_horn_syndrome
Occupational asthma,https://en.wikipedia.org/wiki/Occupational_asthma,No,https://en.wikipedia.org/wiki/Occupational_asthma
"Occupational asthma - animals, insects and fungi",https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk,No,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk
Occupational asthma - chemicals and materials,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk,No,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk
Occupational asthma - drugs and enzymes,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk,No,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk
"Occupational asthma - grains, flours, plants and gums",https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk,No,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk
Occupational asthma - isocyanates and metals,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk,No,https://en.wikipedia.org/wiki/Occupational_asthma#Occupations_at_risk
