Name,Wikipedia link (en)
10q partial trisomy,https://en.wikipedia.org/wiki/Distal_Trisomy_10q
11 beta hydroxylase deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxylase_deficiency
11 beta hydroxylase deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxylase_deficiency
11 beta hydroxysteroid dehydrogenase type 2 deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxysteroid_dehydrogenase_type_2_deficiency
11 beta hydroxysteroid dehydrogenase type 2 deficiency,https://en.wikipedia.org/wiki/11_beta_hydroxysteroid_dehydrogenase_type_2_deficiency
17 alpha hydroxylase deficiency,https://en.wikipedia.org/wiki/17_alpha_hydroxylase_deficiency
17 alpha hydroxylase deficiency,https://en.wikipedia.org/wiki/17_alpha_hydroxylase_deficiency
17 beta hydroxysteroide dehydrogenase deficiency,https://en.wikipedia.org/wiki/17_beta_hydroxysteroide_dehydrogenase_deficiency
17 beta hydroxysteroide dehydrogenase deficiency,https://en.wikipedia.org/wiki/17_beta_hydroxysteroide_dehydrogenase_deficiency
17-beta-hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/17-beta-hydroxysteroid_dehydrogenase_deficiency
17-beta-hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/17-beta-hydroxysteroid_dehydrogenase_deficiency
17q21.31 microdeletion syndrome,https://en.wikipedia.org/wiki/17q21.31_microdeletion_syndrome
17q21.31 microdeletion syndrome,https://en.wikipedia.org/wiki/17q21.31_microdeletion_syndrome
18-Hydroxylase deficiency,https://en.wikipedia.org/wiki/18-Hydroxylase_deficiency
18-Hydroxylase deficiency,https://en.wikipedia.org/wiki/18-Hydroxylase_deficiency
18p deletion syndrome,https://en.wikipedia.org/wiki/18p_deletion_syndrome
18p deletion syndrome,https://en.wikipedia.org/wiki/18p_deletion_syndrome
1p36 deletion syndrome,https://en.wikipedia.org/wiki/1p36_deletion_syndrome
1p36 deletion syndrome,https://en.wikipedia.org/wiki/1p36_deletion_syndrome
2-hydroxyethyl methacrylate sensitization,https://en.wikipedia.org/w/index.php?title=2-hydroxyethyl_methacrylate_sensitization&action=edit&redlink=1
2-hydroxyethyl methacrylate sensitization,https://en.wikipedia.org/w/index.php?title=2-hydroxyethyl_methacrylate_sensitization&action=edit&redlink=1
2-hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-hydroxyglutaricaciduria
2-hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-hydroxyglutaricaciduria
2-Hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-Hydroxyglutaricaciduria
2-Hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-Hydroxyglutaricaciduria
2-Methylacetoacetyl CoA thiolase deficiency,https://en.wikipedia.org/w/index.php?title=2-Methylacetoacetyl_CoA_thiolase_deficiency&action=edit&redlink=1
2-Methylacetoacetyl CoA thiolase deficiency,https://en.wikipedia.org/w/index.php?title=2-Methylacetoacetyl_CoA_thiolase_deficiency&action=edit&redlink=1
"2,8 dihydroxy-adenine urolithiasis","https://en.wikipedia.org/wiki/2,8_dihydroxy-adenine_urolithiasis"
"2,8 dihydroxy-adenine urolithiasis","https://en.wikipedia.org/wiki/2,8_dihydroxy-adenine_urolithiasis"
21 hydroxylase deficiency,https://en.wikipedia.org/wiki/21_hydroxylase_deficiency
21 hydroxylase deficiency,https://en.wikipedia.org/wiki/21_hydroxylase_deficiency
22q11.2 deletion syndrome,https://en.wikipedia.org/wiki/22q11.2_deletion_syndrome
22q11.2 deletion syndrome,https://en.wikipedia.org/wiki/22q11.2_deletion_syndrome
3 alpha methylcrotonyl-Coa carboxylase 1 deficiency,https://en.wikipedia.org/w/index.php?title=3_alpha_methylcrotonyl-Coa_carboxylase_1_deficiency&action=edit&redlink=1
3 alpha methylcrotonyl-Coa carboxylase 1 deficiency,https://en.wikipedia.org/w/index.php?title=3_alpha_methylcrotonyl-Coa_carboxylase_1_deficiency&action=edit&redlink=1
3 alpha methylcrotonyl-coa carboxylase 2 deficiency,https://en.wikipedia.org/w/index.php?title=3_alpha_methylcrotonyl-coa_carboxylase_2_deficiency&action=edit&redlink=1
3 alpha methylcrotonyl-coa carboxylase 2 deficiency,https://en.wikipedia.org/w/index.php?title=3_alpha_methylcrotonyl-coa_carboxylase_2_deficiency&action=edit&redlink=1
"3 alpha methylglutaconic aciduria, type 3","https://en.wikipedia.org/w/index.php?title=3_alpha_methylglutaconic_aciduria,_type_3&action=edit&redlink=1"
"3 alpha methylglutaconic aciduria, type 3","https://en.wikipedia.org/w/index.php?title=3_alpha_methylglutaconic_aciduria,_type_3&action=edit&redlink=1"
3 beta hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/3_beta_hydroxysteroid_dehydrogenase_deficiency
3 beta hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/3_beta_hydroxysteroid_dehydrogenase_deficiency
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
