Name,Wikipedia link (en),Redirected,Redirect link
Labrador lung,https://en.wikipedia.org/wiki/Labrador_lung,Yes,https://en.wikipedia.org/wiki/Pneumoconiosis
Labyrinthitis,https://en.wikipedia.org/wiki/Labyrinthitis,No,https://en.wikipedia.org/wiki/Labyrinthitis
Lachiewicz–Sibley syndrome,https://en.wikipedia.org/wiki/Lachiewicz%E2%80%93Sibley_syndrome,No,https://en.wikipedia.org/wiki/Lachiewicz%E2%80%93Sibley_syndrome
Lafora disease,https://en.wikipedia.org/wiki/Lafora_disease,No,https://en.wikipedia.org/wiki/Lafora_disease
Lambert–Eaton myasthenic syndrome,https://en.wikipedia.org/wiki/Lambert%E2%80%93Eaton_myasthenic_syndrome,No,https://en.wikipedia.org/wiki/Lambert%E2%80%93Eaton_myasthenic_syndrome
Lambert–Eaton syndrome,https://en.wikipedia.org/wiki/Lambert%E2%80%93Eaton_syndrome,Yes,https://en.wikipedia.org/wiki/Lambert%E2%80%93Eaton_myasthenic_syndrome
Lamellar ichthyosis,https://en.wikipedia.org/wiki/Lamellar_ichthyosis,No,https://en.wikipedia.org/wiki/Lamellar_ichthyosis
Lamellar recessive ichthyosis,https://en.wikipedia.org/wiki/Lamellar_recessive_ichthyosis,Yes,https://en.wikipedia.org/wiki/Lamellar_ichthyosis
Landau–Kleffner syndrome,https://en.wikipedia.org/wiki/Landau%E2%80%93Kleffner_syndrome,No,https://en.wikipedia.org/wiki/Landau%E2%80%93Kleffner_syndrome
Landouzy–Dejerine muscular dystrophy,https://en.wikipedia.org/wiki/Landouzy%E2%80%93Dejerine_muscular_dystrophy,Yes,https://en.wikipedia.org/wiki/Facioscapulohumeral_muscular_dystrophy
Langdon Down,https://en.wikipedia.org/wiki/Langdon_Down,Yes,https://en.wikipedia.org/wiki/John_Langdon_Down
Langer–Giedion syndrome,https://en.wikipedia.org/wiki/Langer%E2%80%93Giedion_syndrome,No,https://en.wikipedia.org/wiki/Langer%E2%80%93Giedion_syndrome
Langerhans cell histiocytosis,https://en.wikipedia.org/wiki/Langerhans_cell_histiocytosis,No,https://en.wikipedia.org/wiki/Langerhans_cell_histiocytosis
