Name,Wikipedia link (en)
Hageman factor deficiency,https://en.wikipedia.org/wiki/Hageman_factor_deficiency
Hagemoser–Weinstein–Bresnick syndrome,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome
Hailey–Hailey disease,https://en.wikipedia.org/wiki/Hailey%E2%80%93Hailey_disease
Hairy cell leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia
Hairy palms and soles,https://en.wikipedia.org/wiki/Hairy_palms_and_soles
Hairy tongue,https://en.wikipedia.org/wiki/Black_hairy_tongue
Hajdu–Cheney syndrome,https://en.wikipedia.org/wiki/Hajdu%E2%80%93Cheney_syndrome
Halal syndrome,https://en.wikipedia.org/wiki/Halal_syndrome
Hallermann–Streiff syndrome,https://en.wikipedia.org/wiki/Hallermann%E2%80%93Streiff_syndrome
Pantothenate kinase-associated neurodegeneration,https://en.wikipedia.org/wiki/Pantothenate_kinase-associated_neurodegeneration
Hallucinogen persisting perception disorder,https://en.wikipedia.org/wiki/Hallucinogen_persisting_perception_disorder
Hallux valgus,https://en.wikipedia.org/wiki/Hallux_valgus
Hamartoma sebaceus of Jadassohn,https://en.wikipedia.org/wiki/Hamartoma_sebaceus_of_Jadassohn
Hand–foot–uterus syndrome,https://en.wikipedia.org/wiki/Hand%E2%80%93foot%E2%80%93uterus_syndrome
Hand wringing Rett syndrome,https://en.wikipedia.org/wiki/Hand_wringing_Rett_syndrome
"Hand, foot and mouth disease","https://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease"
Hand–Schüller–Christian disease,https://en.wikipedia.org/wiki/Hand%E2%80%93Sch%C3%BCller%E2%80%93Christian_disease
Hanhart syndrome,https://en.wikipedia.org/wiki/Hanhart_syndrome
Harding ataxia,https://en.wikipedia.org/wiki/Harding_ataxia
Harlequin type ichthyosis,https://en.wikipedia.org/wiki/Harlequin_type_ichthyosis
Harpaxophobia,https://en.wikipedia.org/wiki/Harpaxophobia
Hartnup disease,https://en.wikipedia.org/wiki/Hartnup_disease
Hashimoto struma,https://en.wikipedia.org/wiki/Hashimoto_struma
Hashimoto–Pritzker syndrome,https://en.wikipedia.org/wiki/Hashimoto%E2%80%93Pritzker_syndrome
Hashimoto's thyroiditis,https://en.wikipedia.org/wiki/Hashimoto%27s_thyroiditis
Hay–Wells syndrome,https://en.wikipedia.org/wiki/Hay%E2%80%93Wells_syndrome
"Headache, cluster","https://en.wikipedia.org/wiki/Headache,_cluster"
Hearing disorder,https://en.wikipedia.org/wiki/Hearing_disorder
Hearing impairment,https://en.wikipedia.org/wiki/Hearing_impairment
Hearing loss,https://en.wikipedia.org/wiki/Hearing_loss
Heart aneurysm,https://en.wikipedia.org/wiki/Heart_aneurysm
Heart attack,https://en.wikipedia.org/wiki/Heart_attack
Heart block,https://en.wikipedia.org/wiki/Heart_block
"Heart hypertrophy, hereditary","https://en.wikipedia.org/wiki/Heart_hypertrophy,_hereditary"
Heart situs anomaly,https://en.wikipedia.org/wiki/Heart_situs_anomaly
Heart tumor of the adult,https://en.wikipedia.org/wiki/Heart_tumor_of_the_adult
Heart tumor of the child,https://en.wikipedia.org/wiki/Heart_tumor_of_the_child
Heavy metal poisoning,https://en.wikipedia.org/wiki/Heavy_metal_poisoning
HEC syndrome,https://en.wikipedia.org/wiki/HEC_syndrome
Heliophobia,https://en.wikipedia.org/wiki/Heliophobia
HELLP syndrome,https://en.wikipedia.org/wiki/HELLP_syndrome
Helminthiasis,https://en.wikipedia.org/wiki/Helminthiasis
Hemangioblastoma,https://en.wikipedia.org/wiki/Hemangioblastoma
Hemangioendothelioma,https://en.wikipedia.org/wiki/Hemangioendothelioma
Hemangioma thrombocytopenia syndrome,https://en.wikipedia.org/wiki/Hemangioma_thrombocytopenia_syndrome
"Hemangioma, capillary infantile","https://en.wikipedia.org/wiki/Hemangioma,_capillary_infantile"
Hemangioma,https://en.wikipedia.org/wiki/Hemangioma
Hemangiopericytoma,https://en.wikipedia.org/wiki/Hemangiopericytoma
Hematocolpos,https://en.wikipedia.org/wiki/Hematocolpos
Hemifacial microsomia,https://en.wikipedia.org/wiki/Hemifacial_microsomia
Hemimegalencephaly,https://en.wikipedia.org/wiki/Hemimegalencephaly
