Name,Wikipedia link (en)
Mac Dermot Patton Williams syndrome,https://en.wikipedia.org/w/index.php?title=Mac_Dermot_Patton_Williams_syndrome&action=edit&redlink=1
Mac Dermot Winter syndrome,https://en.wikipedia.org/wiki/Macdermot-Winter_syndrome
Macias–Flores–Garcia–Cruz–Rivera syndrome,https://en.wikipedia.org/w/index.php?title=Macias%E2%80%93Flores%E2%80%93Garcia%E2%80%93Cruz%E2%80%93Rivera_syndrome&action=edit&redlink=1
Mackay–Shek–Carr syndrome,https://en.wikipedia.org/w/index.php?title=Mackay%E2%80%93Shek%E2%80%93Carr_syndrome&action=edit&redlink=1
Macleod–Fraser syndrome,https://en.wikipedia.org/w/index.php?title=Macleod%E2%80%93Fraser_syndrome&action=edit&redlink=1
Macrocephaly cutis marmorata telangiectatica,https://en.wikipedia.org/wiki/Macrocephaly_cutis_marmorata_telangiectatica
Macrocephaly dominant type,https://en.wikipedia.org/w/index.php?title=Macrocephaly_dominant_type&action=edit&redlink=1
Macrocephaly mental retardation facial dysmorphism,https://en.wikipedia.org/w/index.php?title=Macrocephaly_mental_retardation_facial_dysmorphism&action=edit&redlink=1
Macrocephaly mesodermal hamartoma spectrum,https://en.wikipedia.org/w/index.php?title=Macrocephaly_mesodermal_hamartoma_spectrum&action=edit&redlink=1
Macrocephaly mesomelic arms talipes,https://en.wikipedia.org/w/index.php?title=Macrocephaly_mesomelic_arms_talipes&action=edit&redlink=1
Macrocephaly pigmentation large hands feet,https://en.wikipedia.org/w/index.php?title=Macrocephaly_pigmentation_large_hands_feet&action=edit&redlink=1
Macrocephaly short stature paraplegia,https://en.wikipedia.org/w/index.php?title=Macrocephaly_short_stature_paraplegia&action=edit&redlink=1
Macrodactyly of the foot,https://en.wikipedia.org/w/index.php?title=Macrodactyly_of_the_foot&action=edit&redlink=1
Macrodactyly of the hand,https://en.wikipedia.org/w/index.php?title=Macrodactyly_of_the_hand&action=edit&redlink=1
Macroepiphyseal dysplasia Mcalister Coe type,https://en.wikipedia.org/w/index.php?title=Macroepiphyseal_dysplasia_Mcalister_Coe_type&action=edit&redlink=1
Macroglobulinemia,https://en.wikipedia.org/wiki/Macroglobulinemia
Macroglossia dominant,https://en.wikipedia.org/wiki/Macroglossia_dominant
Macroglossia exomphalos gigantism,https://en.wikipedia.org/wiki/Macroglossia_exomphalos_gigantism
Macrogyria pseudobulbar palsy,https://en.wikipedia.org/w/index.php?title=Macrogyria_pseudobulbar_palsy&action=edit&redlink=1
Macrophagic myofasciitis,https://en.wikipedia.org/wiki/Macrophagic_myofasciitis
Macrosomia developmental delay dysmorphism,https://en.wikipedia.org/w/index.php?title=Macrosomia_developmental_delay_dysmorphism&action=edit&redlink=1
Macrosomia microphthalmia cleft palate,https://en.wikipedia.org/w/index.php?title=Macrosomia_microphthalmia_cleft_palate&action=edit&redlink=1
Macrothrombocytopenia progressive deafness,https://en.wikipedia.org/w/index.php?title=Macrothrombocytopenia_progressive_deafness&action=edit&redlink=1
Macrothrombocytopenia with leukocyte inclusions,https://en.wikipedia.org/wiki/Macrothrombocytopenia_with_leukocyte_inclusions
Macular corneal dystrophy,https://en.wikipedia.org/wiki/Macular_corneal_dystrophy
Macular degeneration,https://en.wikipedia.org/wiki/Macular_degeneration
Macular degeneration juvenile,https://en.wikipedia.org/wiki/Macular_degeneration_juvenile
"Macular degeneration, age-related","https://en.wikipedia.org/wiki/Macular_degeneration,_age-related"
"Macular degeneration, polymorphic","https://en.wikipedia.org/wiki/Macular_degeneration,_polymorphic"
"Macular dystrophy, vitelliform","https://en.wikipedia.org/wiki/Macular_dystrophy,_vitelliform"
Macules hereditary congenital hypopigmented and hyperpigmented,https://en.wikipedia.org/w/index.php?title=Macules_hereditary_congenital_hypopigmented_and_hyperpigmented&action=edit&redlink=1
Mad cow disease,https://en.wikipedia.org/wiki/Mad_cow_disease
Madelung's disease,https://en.wikipedia.org/wiki/Madelung%27s_disease
Madokoro–Ohdo–Sonoda syndrome,https://en.wikipedia.org/w/index.php?title=Madokoro%E2%80%93Ohdo%E2%80%93Sonoda_syndrome&action=edit&redlink=1
Maffucci syndrome,https://en.wikipedia.org/wiki/Maffucci_syndrome
Maghazaji syndrome,https://en.wikipedia.org/w/index.php?title=Maghazaji_syndrome&action=edit&redlink=1
Magnesium defect in renal tubular transport of,https://en.wikipedia.org/w/index.php?title=Magnesium_defect_in_renal_tubular_transport_of&action=edit&redlink=1
Magnesium wasting renal,https://en.wikipedia.org/w/index.php?title=Magnesium_wasting_renal&action=edit&redlink=1
Major depressive disorder,https://en.wikipedia.org/wiki/Major_depressive_disorder
Mal de debarquement,https://en.wikipedia.org/wiki/Mal_de_debarquement
Malakoplakia,https://en.wikipedia.org/wiki/Malakoplakia
Malaria,https://en.wikipedia.org/wiki/Malaria
Male pseudohermaphroditism due to 17-beta-hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/Male_pseudohermaphroditism_due_to_17-beta-hydroxysteroid_dehydrogenase_deficiency
Male pseudohermaphroditism due to 5-alpha-reductase 2 deficiency,https://en.wikipedia.org/w/index.php?title=Male_pseudohermaphroditism_due_to_5-alpha-reductase_2_deficiency&action=edit&redlink=1
Male pseudohermaphroditism due to defective LH molecule,https://en.wikipedia.org/w/index.php?title=Male_pseudohermaphroditism_due_to_defective_LH_molecule&action=edit&redlink=1
Malformations in neuronal migration,https://en.wikipedia.org/w/index.php?title=Malformations_in_neuronal_migration&action=edit&redlink=1
Malignant astrocytoma,https://en.wikipedia.org/wiki/Malignant_astrocytoma
Malignant fibrous histiocytoma,https://en.wikipedia.org/wiki/Malignant_fibrous_histiocytoma
Malignant germ cell tumor,https://en.wikipedia.org/w/index.php?title=Malignant_germ_cell_tumor&action=edit&redlink=1
Malignant hyperthermia arthrogryposis torticollis,https://en.wikipedia.org/w/index.php?title=Malignant_hyperthermia_arthrogryposis_torticollis&action=edit&redlink=1
Malignant hyperthermia,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 1,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_1
Malignant hyperthermia susceptibility type 2,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_2
Malignant hyperthermia susceptibility type 3,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_3
Malignant hyperthermia susceptibility type 4,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_4
Malignant hyperthermia susceptibility type 5,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_5
Malignant hyperthermia susceptibility type 6,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_6
Malignant mesenchymal tumor,https://en.wikipedia.org/w/index.php?title=Malignant_mesenchymal_tumor&action=edit&redlink=1
Malignant mixed Müllerian tumor,https://en.wikipedia.org/wiki/Malignant_mixed_M%C3%BCllerian_tumor
Malignant paroxysmal ventricular tachycardia,https://en.wikipedia.org/w/index.php?title=Malignant_paroxysmal_ventricular_tachycardia&action=edit&redlink=1
Mallory–Weiss syndrome,https://en.wikipedia.org/wiki/Mallory%E2%80%93Weiss_syndrome
Malonic aciduria,https://en.wikipedia.org/wiki/Malonic_aciduria
Malonyl-CoA decarboxylase deficiency,https://en.wikipedia.org/wiki/Malonyl-CoA_decarboxylase_deficiency
Malouf syndrome,https://en.wikipedia.org/wiki/Malouf_syndrome
Malpuech facial clefting syndrome,https://en.wikipedia.org/wiki/Malpuech_facial_clefting_syndrome
Mandibuloacral dysplasia,https://en.wikipedia.org/wiki/Mandibuloacral_dysplasia
