Name,Wikipedia link (en)
Pachydermoperiostosis,https://en.wikipedia.org/wiki/Pachydermoperiostosis
Pachygyria,https://en.wikipedia.org/wiki/Pachygyria
Pachyonychia congenita Jackson–Lawler type,https://en.wikipedia.org/wiki/Pachyonychia_congenita_Jackson%E2%80%93Lawler_type
Pacman dysplasia,https://en.wikipedia.org/wiki/Pacman_dysplasia
Paget disease extramammary,https://en.wikipedia.org/wiki/Paget_disease_extramammary
Paget's disease of bone,https://en.wikipedia.org/wiki/Paget%27s_disease_of_bone
Paget's disease of the breast,https://en.wikipedia.org/wiki/Paget%27s_disease_of_the_breast
"Paget's disease, type 1","https://en.wikipedia.org/wiki/Paget%27s_disease,_type_1"
Palindromic rheumatism,https://en.wikipedia.org/wiki/Palindromic_rheumatism
Pallister–Hall syndrome,https://en.wikipedia.org/wiki/Pallister%E2%80%93Hall_syndrome
Pallister–Killian syndrome,https://en.wikipedia.org/wiki/Pallister%E2%80%93Killian_syndrome
Palmitoyl-protein thioesterase deficiency,https://en.wikipedia.org/wiki/Palmitoyl-protein_thioesterase_deficiency
Palmoplantar Keratoderma,https://en.wikipedia.org/wiki/Palmoplantar_Keratoderma
Palsy cerebral,https://en.wikipedia.org/wiki/Palsy_cerebral
Panayiotopoulos syndrome,https://en.wikipedia.org/wiki/Panayiotopoulos_syndrome
Pancreas divisum,https://en.wikipedia.org/wiki/Pancreas_divisum
Pancreatic adenoma,https://en.wikipedia.org/wiki/Pancreatic_adenoma
Pancreatic cancer,https://en.wikipedia.org/wiki/Pancreatic_cancer
"Pancreatic carcinoma, familial","https://en.wikipedia.org/wiki/Pancreatic_carcinoma,_familial"
Pancreatic diseases,https://en.wikipedia.org/wiki/Pancreatic_diseases
Pancreatic islet cell neoplasm,https://en.wikipedia.org/wiki/Pancreatic_islet_cell_neoplasm
Pancreatic islet cell tumors,https://en.wikipedia.org/wiki/Pancreatic_islet_cell_tumors
"Pancreatitis, hereditary","https://en.wikipedia.org/wiki/Pancreatitis,_hereditary"
Pancreatoblastoma,https://en.wikipedia.org/wiki/Pancreatoblastoma
