diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
astigmatism, , ,Astigmatism, , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251
psoriasis, ,"apremilast,calcipotriene,desonide,desoximetasone,ethyl fumarate,methotrexate,non-steroidal anti-inflammatory drug,tacalcitol,tazarotene", ,"Xerosis cutis,obesity,smoking,stress", , , ,"L40,L40.9",C0033860,D011565
metastasis, , , , , , , , ,C2939420,D009362
gastritis, ,"dexlansoprazole,esomeprazole,lansoprazole,omeprazole,pantoprazole,ranitidine,sucralfate", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756
sepsis,"chills,intermittent fever,remittent fever","Drotrecogin alfa,amikacin,aztreonam,cefepime,cefotaxime,cefotetan,cefoxitin,ceftazidime,ceftizoxime,ceftriaxone,ertapenem,gentamicin,imipen,mezlocillin,nafcillin,oxacillin,piperacillin,ticarcillin", ,infection, , , , ,C0036690,D018805
pulmonary emphysema, ,"Oxtriphylline,acefylline,acetylcysteine,aminophylline,dyphylline,theophylline", , ,smoking, ,492.8,J43.8,"C0029607,C0034067",D011656
hypomania, , , , , , , , , , 
heart arrhythmia, ,"(RS)-metoprolol,(RS)-propafenone,amiodarone,atenolol/chlorthalidone,dabigatran etexilate,digoxin,dofetilide,dronedarone,encainide,flecainide,lidocaine,moricizine,papaverine,rivaroxaban,sotalol,tocainide", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145
aneurysm, , ,Ebullism, , , , , , ,D000783
fistula, , ,Vistula, , , , , , ,D005402
heart disease,"angina pectoris,arterial hypertension,ascites,balance disorder,chest pain,dyspnea,edema,heart arrhythmia,syncope,tachycardia","(RS)-dobutamine,(RS)-metoprolol,(±)-carvedilol,Amlodipine / atorvastatin,Bisoprolol / Hydrochlorothiazide,Evolocumab,Hydrochlorothiazide / Lisinopril,LCZ696,Palivizumab,amiodarone,apixaban,aprindine,aspirin,atenolol/chlorthalidone,atorvastatin,clopidogrel,dabigatran etexilate,dofetilide,furosemide,pharmaceutical preparation of nitroglycerin,rivaroxaban,rosuvastatin,sildenafil,ticagrelor,valsartan,warfarin", ,smoking, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331
jet lag,"fatigue,headache,irritability,sleep disorder",melatonin, , ,change, , ,G47.25, ,D020179
cyst, , , , , , , , , ,D003560
dwarfism,short stature, ,dwarfness, , , , , ,C0013336,D004392
atrophy, , ,Atrophy, , , , , , ,D001284
cervical intraepithelial neoplasia, , , , , , , , ,C0206708,D018290
chronic obstructive pulmonary disease,"cough,dyspnea,wheeze","(RS)-clenbuterol,L-carbocysteine,ambroxol,bambuterol,erdosteine,etofylline,fluticasone furoate,formoterol,glycopyrrolate,indacaterol,indacaterol maleate", ,smoking,"dust,smoking","arterial blood gas analysis,spirometry","490-496.99,496",J44.9,C0024117,D029424
varicose veins, ,"Sodium tetradecyl sulfate,myristyl sulfate", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648
hordeolum, , , , ,Staphylococcus aureus, , ,H00.01,"C0019917,C4280376",D006726
amblyopia, , , , , , ,368.00,H53.00,C0002418,D000550
binge-eating disorder,binge eating, ,food addiction, , , ,307.51,F50.8, ,D056912
hypertrophy, , , , , , , , , ,D006984
conjoined twins, , ,"chimera,diprosopus", , , , , ,C0041428,D014428
Cushing's syndrome, ,"(RS)-aminoglutethimide,mitotane", , , , , , , ,D003480
mesenteric ischemia, , , , , , , , ,C0267412,D065666
epidemic pleurodynia, , , , , , ,074.1,B33.0,C0032238,D011000
dysarthria, ,clonazepam, , , , , , ,C0013362,D004401
Zuckerschleim, , , , , , , , , , 
brain tumor, , , , , , , , , ,D001932
chikungunya,"arthralgia,conjunctivitis,fatigue,fever,headache,myalgia,nausea,neurological disorder,rash",non-steroidal anti-inflammatory drug, , ,Chikungunya virus,"physical examination,polymerase chain reaction,viral culture", ,A92.0,C0008055,D065632
