diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
astigmatisme, , ,Q2423400, , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, , 
psoriasi, ,"Q155682,Q155683,Q27294232,Q3981685,antiinflamatori no esteroidal,apremilast,desonida,desoximetasona,metotrexat", ,"Xerosi,estrès,fumar,obesitat", , , ,"L40,L40.9",C0033860,D011565,C3346, 
metàstasi, , , , , , , , ,C2939420,D009362,C3261, 
gastritis, ,"Q254296,Q286846,Q423037,Q5268339,esomeprazole,omeprazole,sucralfat", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780, 
sèpsia,"calfred,febre intermitent,febre remitent","Q1638852,Q2601832,Q3307752,Q418725,Q423787,Q425152,Q553220,amikacina,aztreonam,cefepima,cefotaxima,cefotetan,cefoxitina,ceftazidima,ceftizoxima,ceftriaxona,drotrecogina alfa,gentamicina", ,infecció, , , , ,C0036690,D018805, , 
emfisema pulmonar, ,"Q4673059,Q5104342,acetilcisteïna,aminofil·lina,diprofil·lina,teofil·lina", , ,fumar, ,492.8,J43.8,"C0029607,C0034067",D011656, , 
hipomania, , , , , , , , , , ,C78349, 
arrítmia, ,"(RS)-metoprolol,Flecainida,amiodarona,atenolol/chlorthalidona,dabigatran etexilat,digoxina,dofetilida,dronedarona,encaïnida,lidocaïna,moricizina,papaverina,propafenona,rivaroxaban,sotalol,tocainide", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881, 
aneurisma, , ,Q2483519, , , , , , ,D000783,C26693, 
fístula, , ,Vístula, , , , , , ,D005402,C3045, 
cardiopatia,"angina de pit,arrítmia,ascites,dispnea,dolor toràcic,edema,hipertensió arterial,síncope,taquicàrdia,trastorn de l'equilibri","(RS)-metoprolol,Q155472,Q15623825,Q412765,Q420542,Q48566700,Q48566757,Q48566808,Q6457467,amiodarona,apixaban,aprindina,atenolol/chlorthalidona,atorvastatina,carvedilol,clopidogrel,dabigatran etexilat,dobutamina,dofetilida,furosemida,nitroglicerina com a fàrmac,rivaroxaban,rosuvastatina,sildenafil,warfarina,àcid acetilsalicílic", ,fumar, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079, 
trastorn d'horari,"cefalàlgia,fatiga muscular,irritabilitat,trastorn del son",melatonina, , ,canvi, , ,G47.25, ,D020179, , 
quist, , , , , , , , , ,D003560,C2978, 
fenilcetonúria, , , , , , ,270.1, ,C0031485,D010661,C81315, 
nanisme,estatura baixa, ,Q63441638, , , , , ,C0013336,D004392,C34554, 
atròfia, , ,Q65152739, , , , , , ,D001284, , 
Q196781, , , , , , , , ,C0543612, , , 
Q196788, , , , , , , , ,C0206708,D018290,C3782, 
encefalitis, ,aciclovir, , ,ràbia, ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760, 
malaltia pulmonar obstructiva crònica,"dispnea,sibilació,tos","Q2166700,Q27137018,Q3731252,Q3733837,Q411917,Q425654,ambroxol,bambuterol,carbocisteïna,clenbuterol,formoterol", ,fumar,"fumar,pols","espirometria,gasometria arterial","490-496.99,496",J44.9,C0024117,D029424,C3199, 
variu, ,"Q20817018,Q7553377", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114, 
malaltia de Lyme,"Q1634879,arrítmia,artritis,artràlgia,cefalàlgia,dolor neuropàtic crònic,eritema migrant crònic,fasciculació,fatiga muscular,febre,meningitis,meningoencefalitis,miocardiopatia hipertròfica,miocarditis,miàlgia,neuritis,parestèsia,vertigen","amoxicil·lina,azitromicina,ceftriaxona,cefuroxima,doxiciclina",Q17103401, ,Borrelia burgdorferi,"ELISA,Transferència Western,biòpsia,exploració física,punció lumbar",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161, 
mussol, , , , ,Staphylococcus aureus, , ,H00.01,"C0019917,C4280376",D006726,C118722, 
síndrome de Turner, , ,Q56014434, , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210", 
ambliopia, , , , , , ,368.00,H53.00,C0002418,D000550,C118764, 
condiloma acuminat, ,"Q22075831,Q27280825,Q6046446,imiquimod", ,fumar,virus del papil·loma humà, ,078.11,A63.0,"C0009663,C0554632",D003218,"C2960,C4820", 
trastorn per afartament,menjar compulsivament, ,Q2742106, , , ,307.51,F50.8, ,D056912,C97162, 
Delírium trèmens,insomni amb excitació, , , ,abús d'alcohol, ,291.0, , ,D000430, , 
hipertròfia, , , , , , , , , ,D006984, , 
germans siamesos, , ,"Q281721,Q32744", , , , , ,C0041428,D014428,C98903, 
síndrome de Zollinger-Ellison, ,"Q1188290,Q254296,Q286846,Q411159,Rabeprazòl,cimetidina,omeprazole", , , , , ,E16.4,C0043515,D015043,C3453, 
síndrome de Cushing, ,"Q417465,aminoglutetimida", , , , , , , ,D003480,C2969, 
intolerància a la lactosa,"borborigme,diarrea,dolor abdominal,flatulència,inflor abdominal,nàusea,vòmit", ,Q15914886,"edat,etnicitat","absència,alimentació","Q2551557,Q5439869,anàlisi de sang,biòpsia,cromatografia,prova genètica",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154, 
isquèmia intestinal, , , , , , , , ,C0267412,D065666, , 
infecció urinària,"disúria,dolor abdominal,febre,hematúria,pol·laciúria","Q1052672,Q12415847,Q1638852,Q1639595,Q1639616,Q183554,Q203618,Q20817140,Q2365016,Q2601832,Q27107637,Q27252228,Q27264316,Q27283414,Q304570,Q3307752,Q3876717,Q3976824,Q411377,Q415843,Q417897,Q418725,Q421670,Q422669,Q423787,Q424193,Q424940,Q425152,Q47495774,Q47495791,Q48566821,Q553220,Q7636169,amfotericina B,amoxicil·lina,ampicil·lina,aztreonam,bacampicil·lina,carbenicil·lina,carindacil·lina,cefaclor,cefadroxil,cefalexina,cefalotina,cefamandole,cefapirina,cefazolina,cefepima,cefixima,cefoperazona,cefotaxima,cefotetan,cefoxitina,ceftazidima,ceftibutèn,ceftizoxima,ceftriaxona,cefuroxima,ciclacil·lina,cinoxacina,ciprofloxacina,cloxacil·lina,demeclociclina,dicloxacil·lina,doxiciclina,fluconazole,gentamicina,hexametilenotetramina,ofloxacina,sulfadiazina,sulfisoxazole,tobramicina,trimetoprim,àcid clavulànic,àcid nalidíxic", , , , ,595.0,N30.0,C0149523,D014552,"C26934,C50791", 
