name,link
Acutane embryopathy,https://en.wikipedia.org/wiki/Isotretinoin
Acute non lymphoblastic leukemia (generic term),https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Adams–Nance syndrome,https://en.wikipedia.org/wiki/Adams%E2%80%93Nance_syndrome
"Alport syndrome, recessive type",https://en.wikipedia.org/wiki/Alport_syndrome#Inheritance_patterns
Anorexia nervosa restricting type,https://en.wikipedia.org/wiki/Anorexia_nervosa#Psychological
BK virus nephritis,https://en.wikipedia.org/wiki/BK_virus
Brown-Séquard syndrome,https://en.wikipedia.org/wiki/Brown-S%C3%A9quard_syndrome
Café au lait spots syndrome,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait_spot
Chen-Kung Ho–Kaufman–Mcalister syndrome,https://en.wikipedia.org/wiki/Ho%E2%80%93Kaufman%E2%80%93Mcalister_syndrome
"Cholemia, familial",https://en.wikipedia.org/wiki/Cholemia
Congenital ichtyosiform erythroderma,https://en.wikipedia.org/wiki/Congenital_ichthyosiform_erythroderma
Congenital megaloureter,https://en.wikipedia.org/wiki/Megaureter
Connexin 26 anomaly,https://en.wikipedia.org/wiki/GJB2
"Contact dermatitis, photocontact",https://en.wikipedia.org/wiki/Contact_dermatitis#Photocontact_dermatitis
Diethylstilbestrol antenatal infection,https://en.wikipedia.org/wiki/Diethylstilbestrol
"Diplopia, binocular",https://en.wikipedia.org/wiki/Diplopia#Binocular
Disaccharide intolerance iii,https://en.wikipedia.org/wiki/Disaccharidase
"Dysfibrinogenemia, acquired",https://en.wikipedia.org/wiki/Dysfibrinogenemia#Pathophysiology#Acquired_dysfibrinogenemia
"Emery–Dreifuss muscular dystrophy, X-linked",https://en.wikipedia.org/wiki/Emery%E2%80%93Dreifuss_muscular_dystrophy#Classification
Erb–Duchenne palsy,https://en.wikipedia.org/wiki/Erb%27s_palsy
Erosive pustular dermatosis of the scalp,https://en.wikipedia.org/wiki/Erosive_pustular_dermatitis_of_the_scalp
Familial cold autoinflamatory syndrome (FCAS),https://en.wikipedia.org/wiki/Cold_urticaria#Familial_cold_urticaria
Forbes–Albright syndrome,https://en.wikipedia.org/wiki/Hyperprolactinaemia#Historical_names
Gardner–Diamond syndrome,https://en.wikipedia.org/wiki/Painful_bruising_syndrome
Gougerot–Blum syndrome,https://en.wikipedia.org/wiki/Gougerot%E2%80%93Blum_syndrome
